Site	Plot	Treatment	Year	Date	Julian	Hour	Ambient	Surface	5_cm	10_cm
2	25	OTC	2006	17/05/2006	137	17	2.03	2.03	5.4	4.99
2	25	OTC	2006	17/05/2006	137	18	-0.61	-0.16	4.57	4.57
2	25	OTC	2006	17/05/2006	137	19	-1.97	-1.06	4.15	4.57
2	25	OTC	2006	17/05/2006	137	20	-1.97	-1.06	3.74	4.57
2	25	OTC	2006	17/05/2006	137	21	-2.9	-1.51	3.31	4.15
2	25	OTC	2006	17/05/2006	137	22	-3.85	-2.44	2.89	4.15
2	25	OTC	2006	17/05/2006	137	23	-3.85	-1.97	2.46	3.74
2	25	OTC	2006	18/05/2006	138	0	-3.85	-1.97	2.46	3.74
2	25	OTC	2006	18/05/2006	138	1	-4.33	-2.44	2.46	3.31
2	25	OTC	2006	18/05/2006	138	2	-3.37	-1.51	2.03	3.31
2	25	OTC	2006	18/05/2006	138	3	-3.85	-1.97	2.03	3.31
2	25	OTC	2006	18/05/2006	138	4	-4.82	-2.44	2.03	2.89
2	25	OTC	2006	18/05/2006	138	5	-5.31	-2.44	1.6	2.89
2	25	OTC	2006	18/05/2006	138	6	-5.81	-2.9	1.6	2.89
2	25	OTC	2006	18/05/2006	138	7	-3.37	-1.51	1.6	2.89
2	25	OTC	2006	18/05/2006	138	8	-0.16	-0.16	1.17	2.89
2	25	OTC	2006	18/05/2006	138	9	4.57	0.29	1.17	2.46
2	25	OTC	2006	18/05/2006	138	10	10.21	2.89	2.03	2.46
2	25	OTC	2006	18/05/2006	138	11	13.32	6.22	3.31	2.89
2	25	OTC	2006	18/05/2006	138	12	12.16	8.63	4.57	3.31
2	25	OTC	2006	18/05/2006	138	13	14.85	11.38	5.4	3.74
2	25	OTC	2006	18/05/2006	138	14	12.93	10.6	5.81	4.15
2	25	OTC	2006	18/05/2006	138	15	10.21	7.83	6.22	4.57
2	25	OTC	2006	18/05/2006	138	16	6.22	4.57	5.81	4.57
2	25	OTC	2006	18/05/2006	138	17	1.17	1.17	4.99	4.57
2	25	OTC	2006	18/05/2006	138	18	0.29	0.29	4.15	4.57
2	25	OTC	2006	18/05/2006	138	19	-1.97	-1.06	3.74	4.15
2	25	OTC	2006	18/05/2006	138	20	-3.37	-1.51	3.31	4.15
2	25	OTC	2006	18/05/2006	138	21	-3.37	-1.51	2.89	3.74
2	25	OTC	2006	18/05/2006	138	22	-0.16	-0.61	2.46	3.74
2	25	OTC	2006	18/05/2006	138	23	1.6	0.73	2.46	3.31
2	25	OTC	2006	19/05/2006	139	0	2.03	1.6	2.89	3.31
2	25	OTC	2006	19/05/2006	139	1	2.89	2.03	2.89	3.31
2	25	OTC	2006	19/05/2006	139	2	3.31	2.46	2.89	3.31
2	25	OTC	2006	19/05/2006	139	3	2.89	2.03	2.89	3.31
2	25	OTC	2006	19/05/2006	139	4	2.89	2.03	2.89	3.31
2	25	OTC	2006	19/05/2006	139	5	2.46	1.6	2.89	3.31
2	25	OTC	2006	19/05/2006	139	6	2.89	2.03	2.89	3.31
2	25	OTC	2006	19/05/2006	139	7	3.31	2.46	2.89	3.31
2	25	OTC	2006	19/05/2006	139	8	3.74	3.31	2.89	3.31
2	25	OTC	2006	19/05/2006	139	9	4.15	4.15	3.31	3.31
2	25	OTC	2006	19/05/2006	139	10	5.4	5.81	3.31	3.31
2	25	OTC	2006	19/05/2006	139	11	5.4	6.22	3.74	3.74
2	25	OTC	2006	19/05/2006	139	12	6.22	7.03	4.15	3.74
2	25	OTC	2006	19/05/2006	139	13	5.81	6.22	4.15	3.74
2	25	OTC	2006	19/05/2006	139	14	7.03	7.03	4.57	3.74
2	25	OTC	2006	19/05/2006	139	15	5.4	5.4	4.57	4.15
2	25	OTC	2006	19/05/2006	139	16	5.4	4.99	4.57	4.15
2	25	OTC	2006	19/05/2006	139	17	4.57	4.15	4.15	4.15
2	25	OTC	2006	19/05/2006	139	18	2.89	2.03	4.15	4.15
2	25	OTC	2006	19/05/2006	139	19	2.46	1.6	3.74	4.15
2	25	OTC	2006	19/05/2006	139	20	3.31	2.89	3.74	3.74
