"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818218, LBL: Ambient)","RH, % (SEN S/N: 9818218)","DewPt, ¡C (SEN S/N: 9818218)","Temp, ¡C (SEN S/N: 9824740, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833760, LBL: 10cmBG)"
09-05-2012,12:38:19,7.293,76.800,3.5,7.845,0.0933,0.2560
09-05-2012,13:38:20,6.255,78.900,2.9,7.368,0.0940,0.2567
09-05-2012,14:38:21,4.973,80.500,1.9,6.737,0.0940,0.2567
09-05-2012,15:38:22,6.990,77.400,3.3,6.661,0.0940,0.2567
09-05-2012,16:38:23,5.924,77.300,2.3,5.924,0.0933,0.2567
09-05-2012,17:38:24,6.661,72.600,2.1,5.437,0.0933,0.2567
09-05-2012,18:38:25,5.024,86.400,2.9,4.973,0.0933,0.2567
09-05-2012,19:38:26,5.050,97.800,4.7,4.999,0.0933,0.2560
09-05-2012,20:38:27,4.766,100.000,4.8,5.024,0.0933,0.2552
09-05-2012,21:38:28,5.847,100.000,5.9,5.205,0.0933,0.2552
09-05-2012,22:38:29,6.026,100.000,6.0,5.488,0.0933,0.2552
09-05-2012,23:38:30,5.924,100.000,5.9,5.591,0.0933,0.2552
10-05-2012,00:38:31,5.719,100.000,5.7,5.616,0.0933,0.2552
10-05-2012,01:38:32,5.719,100.000,5.7,5.514,0.0940,0.2552
10-05-2012,02:38:33,5.642,100.000,5.6,5.488,0.0940,0.2552
10-05-2012,03:38:34,5.360,100.000,5.4,5.462,0.0940,0.2552
10-05-2012,04:38:35,4.766,100.000,4.8,5.050,0.0940,0.2552
10-05-2012,05:38:36,4.011,100.000,4.0,4.324,0.0940,0.2545
10-05-2012,06:38:37,3.880,100.000,3.9,3.906,0.0940,0.2552
10-05-2012,07:38:38,3.643,100.000,3.6,3.617,0.0940,0.2545
10-05-2012,08:38:39,3.670,97.600,3.3,3.354,0.0940,0.2552
10-05-2012,09:38:40,6.382,89.300,4.8,3.827,0.0947,0.2552
10-05-2012,10:38:41,8.792,79.000,5.4,5.050,0.0947,0.2552
10-05-2012,11:38:42,10.369,73.600,5.9,7.091,0.0947,0.2552
10-05-2012,12:38:43,11.565,72.200,6.7,9.534,0.0962,0.2545
10-05-2012,13:38:44,11.053,72.200,6.3,10.834,0.0976,0.2552
10-05-2012,14:38:45,8.519,77.300,4.8,10.761,0.0976,0.2560
10-05-2012,15:38:46,9.361,79.500,6.0,9.583,0.0983,0.2567
10-05-2012,16:38:47,7.695,80.200,4.5,8.245,0.0983,0.2560
10-05-2012,17:38:48,5.847,86.800,3.8,6.965,0.0976,0.2560
10-05-2012,18:38:49,5.076,96.500,4.6,5.872,0.0969,0.2560
10-05-2012,19:38:50,4.973,98.400,4.7,5.462,0.0962,0.2560
10-05-2012,20:38:51,5.539,98.200,5.3,5.282,0.0962,0.2560
10-05-2012,21:38:52,5.975,98.700,5.8,5.642,0.0962,0.2567
10-05-2012,22:38:53,5.898,98.500,5.7,5.796,0.0954,0.2560
10-05-2012,23:38:54,5.719,95.200,5.0,5.668,0.0954,0.2560
11-05-2012,00:38:55,5.437,95.300,4.7,5.488,0.0954,0.2560
11-05-2012,01:38:56,5.231,92.200,4.1,5.231,0.0954,0.2567
11-05-2012,02:38:57,4.973,92.000,3.8,4.947,0.0954,0.2560
