"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832563, SEN S/N: 9818213, LBL: Ambient)","RH, % (LGR S/N: 9832563, SEN S/N: 9818213)","DewPt, °C (LGR S/N: 9832563, SEN S/N: 9818213)","Temp, °C (LGR S/N: 9832563, SEN S/N: 9824750, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832563, SEN S/N: 9827499, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832563, SEN S/N: 9833754, LBL: 10cmBG)"
19/10/2013,12:09:30,17.225,35.800,2.0,9.114,0.2785,0.2814
19/10/2013,13:09:31,19.817,36.100,4.4,9.682,0.2777,0.2814
19/10/2013,14:09:32,22.058,30.700,4.0,10.614,0.2777,0.2821
19/10/2013,15:09:33,22.106,27.700,2.6,11.613,0.2785,0.2814
19/10/2013,16:09:34,20.246,24.000,-1.0,12.292,0.2777,0.2806
19/10/2013,17:09:35,16.725,24.600,-3.6,12.098,0.2777,0.2785
19/10/2013,18:09:36,12.509,31.000,-4.1,11.078,0.2770,0.2770
19/10/2013,19:09:37,7.895,43.400,-3.8,10.075,0.2763,0.2748
19/10/2013,20:09:38,5.360,58.400,-2.1,8.990,0.2756,0.2741
19/10/2013,21:09:39,6.051,61.300,-0.8,7.970,0.2748,0.2734
19/10/2013,22:09:40,5.745,59.500,-1.5,7.268,0.2741,0.2727
19/10/2013,23:09:41,5.745,61.200,-1.1,6.788,0.2734,0.2719
20/10/2013,00:09:42,5.745,64.000,-0.5,6.408,0.2734,0.2712
20/10/2013,01:09:43,5.872,65.300,-0.1,6.102,0.2727,0.2705
20/10/2013,02:09:44,5.821,66.200,0.0,5.872,0.2727,0.2705
20/10/2013,03:09:45,5.745,67.200,0.1,5.693,0.2719,0.2698
20/10/2013,04:09:46,6.179,66.200,0.4,5.514,0.2719,0.2698
20/10/2013,05:09:47,5.949,64.600,-0.2,5.385,0.2712,0.2690
20/10/2013,06:09:48,6.382,62.200,-0.3,5.257,0.2712,0.2690
20/10/2013,07:09:49,6.889,56.800,-1.1,5.179,0.2712,0.2690
20/10/2013,08:09:50,7.469,56.900,-0.5,5.179,0.2705,0.2676
20/10/2013,09:09:51,10.345,55.100,1.7,5.282,0.2705,0.2676
20/10/2013,10:09:52,14.936,45.900,3.4,6.026,0.2698,0.2676
20/10/2013,11:09:53,15.986,45.300,4.2,7.444,0.2690,0.2676
20/10/2013,12:09:54,17.368,44.000,5.0,9.040,0.2690,0.2668
20/10/2013,13:09:55,19.341,41.800,6.1,10.614,0.2690,0.2668
20/10/2013,14:09:56,21.032,37.600,6.0,11.734,0.2683,0.2661
20/10/2013,15:09:57,20.365,35.600,4.7,12.727,0.2683,0.2661
20/10/2013,16:09:58,18.295,36.800,3.3,13.161,0.2683,0.2647
20/10/2013,17:09:59,17.582,39.000,3.5,12.944,0.2676,0.2632
20/10/2013,18:10:00,13.594,45.700,2.1,12.171,0.2676,0.2625
20/10/2013,19:10:01,12.074,52.800,2.7,11.370,0.2668,0.2610
20/10/2013,20:10:02,10.222,60.900,3.0,10.565,0.2668,0.2603
20/10/2013,21:10:03,8.965,64.800,2.7,9.854,0.2661,0.2596
20/10/2013,22:10:04,8.319,67.000,2.6,9.262,0.2661,0.2589
20/10/2013,23:10:05,7.619,68.700,2.2,8.767,0.2654,0.2589
21/10/2013,00:10:06,8.618,68.800,3.2,8.319,0.2654,0.2581
21/10/2013,01:10:07,9.509,61.100,2.4,8.045,0.2654,0.2574
21/10/2013,02:10:08,9.435,62.800,2.7,7.895,0.2647,0.2574
21/10/2013,03:10:09,9.780,61.800,2.8,7.770,0.2647,0.2574
21/10/2013,04:10:10,9.040,61.500,2.0,7.645,0.2647,0.2574
21/10/2013,05:10:11,8.742,64.600,2.5,7.494,0.2639,0.2567
21/10/2013,06:10:12,9.139,66.400,3.2,7.368,0.2647,0.2567
21/10/2013,07:10:13,10.443,67.600,4.7,7.318,0.2639,0.2567
21/10/2013,08:10:14,13.185,62.800,6.3,7.494,0.2639,0.2567
21/10/2013,09:10:15,14.936,59.100,7.0,8.070,0.2639,0.2560
21/10/2013,10:10:16,18.010,54.600,8.7,9.064,0.2632,0.2560
21/10/2013,11:10:17,19.698,51.300,9.4,10.345,0.2632,0.2560
21/10/2013,12:10:18,17.843,56.800,9.2,11.443,0.2625,0.2560
21/10/2013,13:10:19,15.796,58.500,7.7,12.098,0.2632,0.2552
21/10/2013,14:10:20,15.605,58.900,7.6,12.292,0.2625,0.2545
21/10/2013,15:10:21,18.557,53.900,9.1,12.654,0.2618,0.2538
21/10/2013,16:10:22,14.697,57.300,6.4,12.968,0.2625,0.2530
21/10/2013,17:10:23,15.175,60.600,7.6,12.654,0.2618,0.2523
21/10/2013,18:10:24,13.233,64.500,6.7,12.292,0.2618,0.2516
21/10/2013,19:10:25,11.613,71.300,6.6,11.734,0.2610,0.2509
21/10/2013,20:10:26,10.051,79.300,6.6,11.102,0.2610,0.2501
21/10/2013,21:10:27,9.262,85.300,6.9,10.541,0.2610,0.2494
21/10/2013,22:10:28,9.015,93.800,8.1,10.149,0.2610,0.2494
21/10/2013,23:10:29,9.262,93.400,8.3,9.829,0.2610,0.2494
22/10/2013,00:10:30,9.854,81.200,6.8,9.534,0.2610,0.2494
22/10/2013,01:10:31,9.534,83.000,6.8,9.287,0.2610,0.2487
22/10/2013,02:10:32,9.040,84.000,6.5,9.064,0.2603,0.2487
22/10/2013,03:10:33,9.312,90.000,7.8,8.891,0.2603,0.2487
22/10/2013,04:10:34,8.817,94.200,7.9,8.792,0.2603,0.2487
22/10/2013,05:10:35,8.295,96.600,7.8,8.643,0.2603,0.2487
22/10/2013,06:10:36,8.891,97.300,8.5,8.519,0.2603,0.2480
22/10/2013,07:10:37,9.731,96.100,9.1,8.469,0.2603,0.2480
22/10/2013,08:10:38,12.606,93.000,11.5,8.593,0.2596,0.2480
22/10/2013,09:10:39,16.820,83.600,14.0,9.262,0.2603,0.2480
22/10/2013,10:10:40,16.844,77.000,12.8,10.516,0.2596,0.2487
22/10/2013,11:10:41,16.034,85.600,13.6,11.248,0.2603,0.2487
22/10/2013,12:10:42,13.762,82.200,10.8,11.929,0.2603,0.2487
22/10/2013,13:10:43,13.594,96.800,13.1,11.953,0.2603,0.2480
22/10/2013,14:10:44,12.558,97.000,12.1,11.759,0.2603,0.2480
22/10/2013,15:10:45,11.977,99.700,11.9,11.589,0.2589,0.2480
22/10/2013,16:10:46,11.516,100.000,11.5,11.273,0.2581,0.2487
22/10/2013,17:10:47,11.078,100.000,11.1,11.078,0.2567,0.2480
22/10/2013,18:10:48,11.127,100.000,11.1,10.834,0.3293,0.3061
22/10/2013,19:10:49,11.127,100.000,11.1,10.736,0.3206,0.3061
22/10/2013,20:10:50,11.151,100.000,11.2,10.663,0.3424,0.3220
22/10/2013,21:10:51,10.785,100.000,10.8,10.663,0.3271,0.3141
22/10/2013,22:10:52,10.222,100.000,10.2,10.565,0.3141,0.3061
22/10/2013,23:10:53,9.952,100.000,10.0,10.345,0.3075,0.3010
23/10/2013,00:10:54,8.965,100.000,9.0,10.149,0.3017,0.2974
23/10/2013,01:10:55,7.619,99.300,7.5,9.854,0.2988,0.2952
23/10/2013,02:10:56,6.889,97.500,6.5,9.361,0.2959,0.2930
23/10/2013,03:10:57,7.091,98.900,6.9,8.916,0.2937,0.2908
23/10/2013,04:10:58,6.026,98.600,5.8,8.593,0.2915,0.2894
23/10/2013,05:10:59,5.411,100.000,5.4,8.245,0.2894,0.2872
23/10/2013,06:11:00,5.385,100.000,5.4,7.895,0.2923,0.2981
23/10/2013,07:11:01,5.050,100.000,5.1,7.544,0.3053,0.3053
23/10/2013,08:11:02,5.821,100.000,5.8,7.368,0.3053,0.3053
23/10/2013,09:11:03,6.128,100.000,6.1,7.619,0.3017,0.3017
23/10/2013,10:11:04,6.255,100.000,6.3,7.995,0.2988,0.2995
23/10/2013,11:11:05,6.737,100.000,6.7,8.394,0.2966,0.2966
23/10/2013,12:11:06,7.268,100.000,7.3,8.841,0.2944,0.2952
23/10/2013,13:11:07,7.920,100.000,7.9,9.188,0.2930,0.2937
23/10/2013,14:11:08,8.170,100.000,8.2,9.509,0.2915,0.2930
23/10/2013,15:11:09,7.895,100.000,7.9,9.756,0.2908,0.2930
23/10/2013,16:11:10,7.469,100.000,7.5,9.731,0.2915,0.2952
23/10/2013,17:11:11,6.153,100.000,6.2,9.534,0.2930,0.2974
23/10/2013,18:11:12,5.050,100.000,5.1,8.941,0.2937,0.2974
23/10/2013,19:11:13,4.324,100.000,4.3,8.270,0.2930,0.2966
23/10/2013,20:11:14,3.827,100.000,3.8,7.619,0.2937,0.2988
23/10/2013,21:11:15,3.617,100.000,3.6,7.091,0.3133,0.3148
23/10/2013,22:11:16,3.036,100.000,3.0,6.661,0.3090,0.3097
23/10/2013,23:11:17,2.343,100.000,2.3,6.281,0.3046,0.3053
24/10/2013,00:11:18,1.724,100.000,1.7,5.872,0.3017,0.3032
24/10/2013,01:11:19,1.344,100.000,1.3,5.411,0.3017,0.3039
24/10/2013,02:11:20,0.495,100.000,0.5,5.024,0.2995,0.3017
24/10/2013,03:11:21,0.356,99.900,0.3,4.636,0.2974,0.2988
24/10/2013,04:11:22,-0.283,99.400,-0.4,4.350,0.2952,0.2974
24/10/2013,05:11:23,-0.339,99.700,-0.4,3.985,0.2937,0.2952
24/10/2013,06:11:24,-1.071,99.300,-1.2,3.696,0.2923,0.2944
24/10/2013,07:11:25,-1.584,97.000,-2.0,3.564,0.2915,0.2930
24/10/2013,08:11:26,-1.043,95.700,-1.6,3.459,0.2894,0.2915
24/10/2013,09:11:27,0.190,93.600,-0.7,3.512,0.2872,0.2901
24/10/2013,10:11:28,0.880,93.300,-0.1,3.958,0.2872,0.2908
24/10/2013,11:11:29,4.037,92.300,2.9,4.947,0.2872,0.2915
24/10/2013,12:11:30,3.932,90.300,2.5,6.763,0.2872,0.2923
