"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832561, SEN S/N: 9818218, LBL: Ambient)","RH, % (LGR S/N: 9832561, SEN S/N: 9818218)","DewPt, °C (LGR S/N: 9832561, SEN S/N: 9818218)","Temp, °C (LGR S/N: 9832561, SEN S/N: 9824740, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833760, LBL: 10cmBG)"
19/10/2013,12:09:30,14.409,38.900,0.6,26.036,0.1957,0.2661
19/10/2013,13:09:31,16.129,36.400,1.2,23.400,0.1957,0.2683
19/10/2013,14:09:32,17.201,31.900,0.3,21.963,0.1971,0.2683
19/10/2013,15:09:33,16.844,30.600,-0.5,22.537,0.1971,0.2676
19/10/2013,16:09:34,15.891,27.100,-3.0,18.509,0.1928,0.2683
19/10/2013,17:09:35,14.481,26.700,-4.4,13.906,0.1673,0.2683
19/10/2013,18:09:36,11.516,32.700,-4.3,10.712,0.1521,0.2676
19/10/2013,19:09:37,7.795,45.300,-3.3,8.494,0.1485,0.2676
19/10/2013,20:09:38,6.077,56.300,-2.0,6.255,0.1470,0.2668
19/10/2013,21:09:39,5.975,60.200,-1.1,5.334,0.1463,0.2661
19/10/2013,22:09:40,5.719,60.000,-1.4,4.947,0.1448,0.2639
19/10/2013,23:09:41,5.693,61.600,-1.1,4.792,0.1448,0.2654
20/10/2013,00:09:42,5.616,65.000,-0.4,4.610,0.1441,0.2639
20/10/2013,01:09:43,5.668,66.200,-0.1,4.532,0.1426,0.2632
20/10/2013,02:09:44,5.668,66.800,-0.0,4.480,0.1426,0.2632
20/10/2013,03:09:45,5.539,67.500,0.0,4.350,0.1426,0.2625
20/10/2013,04:09:46,5.796,66.500,0.0,4.272,0.1419,0.2625
20/10/2013,05:09:47,5.539,65.100,-0.5,4.246,0.1412,0.2618
20/10/2013,06:09:48,5.847,63.200,-0.6,4.246,0.1412,0.2610
20/10/2013,07:09:49,6.281,57.700,-1.4,4.558,0.1412,0.2610
20/10/2013,08:09:50,6.788,58.100,-0.9,4.947,0.1405,0.2610
20/10/2013,09:09:51,8.990,56.400,0.8,5.821,0.1405,0.2610
20/10/2013,10:09:52,12.703,48.500,2.1,11.053,0.1397,0.2603
20/10/2013,11:09:53,14.194,48.500,3.5,14.936,0.1405,0.2596
20/10/2013,12:09:54,15.342,47.900,4.4,21.604,0.1412,0.2596
