"Date","Time, GMT+10:00","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)","Temp, °C (LGR S/N: 2426035, SEN S/N: 2426035)"
04/06/14,00:14:47,3.617,4.532,5.205,5.437
04/06/14,01:14:47,3.433,4.454,5.154,5.411
04/06/14,02:14:47,3.512,4.428,5.128,5.385
04/06/14,03:14:47,3.142,4.376,5.102,5.360
04/06/14,04:14:47,3.221,4.246,5.076,5.334
04/06/14,05:14:47,3.142,4.220,5.050,5.308
04/06/14,06:14:47,2.930,4.168,4.999,5.282
04/06/14,07:14:47,2.770,4.115,4.973,5.257
04/06/14,08:14:47,3.168,4.168,4.947,5.257
04/06/14,09:14:47,4.115,4.376,4.921,5.231
04/06/14,10:14:47,4.610,4.532,4.947,5.205
04/06/14,11:14:47,6.357,5.154,4.973,5.205
04/06/14,12:14:47,8.469,6.026,5.024,5.231
04/06/14,13:14:47,9.558,6.382,5.102,5.257
04/06/14,14:14:47,11.929,6.914,5.205,5.282
04/06/14,15:14:47,10.124,6.839,5.282,5.334
04/06/14,16:14:47,6.484,6.077,5.334,5.360
04/06/14,17:14:47,4.740,5.539,5.385,5.411
04/06/14,18:14:47,3.248,4.999,5.385,5.462
04/06/14,19:14:47,0.852,4.350,5.308,5.462
04/06/14,20:14:47,-0.367,3.749,5.205,5.437
04/06/14,21:14:47,-1.128,3.327,5.050,5.385
04/06/14,22:14:47,-1.900,2.956,4.895,5.308
04/06/14,23:14:47,-2.625,2.610,4.714,5.231
05/06/14,00:14:47,-2.800,2.343,4.558,5.128
05/06/14,01:14:47,-3.124,2.182,4.402,5.024
05/06/14,02:14:47,-2.918,2.021,4.272,4.947
05/06/14,03:14:47,-3.183,1.940,4.141,4.844
05/06/14,04:14:47,-1.756,1.940,4.037,4.766
05/06/14,05:14:47,-0.958,1.967,3.906,4.662
05/06/14,06:14:47,-1.470,1.994,3.827,4.584
05/06/14,07:14:47,-0.732,2.021,3.749,4.506
05/06/14,08:14:47,0.577,2.101,3.696,4.428
05/06/14,09:14:47,2.450,2.236,3.617,4.376
05/06/14,10:14:47,4.194,2.503,3.591,4.324
05/06/14,11:14:47,6.535,3.459,3.564,4.272
