"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832561, SEN S/N: 9818218, LBL: Ambient)","RH, % (LGR S/N: 9832561, SEN S/N: 9818218)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833760, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832561, SEN S/N: -1)","DewPt, °C (LGR S/N: 9832561, SEN S/N: 9818218)"
20/11/16,19:40:49,14.888,67.100,0.1477,0.2480,15.079,8.9
20/11/16,20:40:50,13.353,74.400,0.1456,0.2487,14.266,8.9
20/11/16,21:40:51,12.727,80.100,0.1448,0.2480,13.618,9.4
20/11/16,22:40:52,11.759,82.900,0.1426,0.2480,13.137,9.0
20/11/16,23:40:53,11.686,82.600,0.1419,0.2480,12.654,8.8
21/11/16,00:40:54,11.394,79.400,0.1419,0.2472,12.461,8.0
21/11/16,01:40:55,11.394,82.900,0.1412,0.2472,12.195,8.6
21/11/16,02:40:56,11.613,82.400,0.1405,0.2472,12.074,8.7
21/11/16,03:40:57,11.078,80.100,0.1405,0.2472,11.832,7.8
21/11/16,04:40:58,10.565,83.200,0.1397,0.2472,11.516,7.8
21/11/16,05:40:59,10.858,83.900,0.1397,0.2472,11.346,8.3
21/11/16,06:41:00,12.243,80.300,0.1390,0.2472,11.492,9.0
21/11/16,07:41:01,15.103,70.600,0.1390,0.2465,12.727,9.8
21/11/16,08:41:02,15.819,67.000,0.1397,0.2458,13.040,9.7
21/11/16,09:41:03,14.266,71.600,0.1405,0.2458,13.016,9.2
21/11/16,10:41:04,15.700,65.100,0.1426,0.2458,14.266,9.2
21/11/16,11:41:05,15.294,71.000,0.1419,0.2451,13.762,10.1
21/11/16,12:41:06,19.888,64.900,0.1434,0.2451,15.079,13.1
21/11/16,13:41:07,22.681,56.500,0.1441,0.2443,17.463,13.6
21/11/16,14:41:08,22.585,55.400,0.1456,0.2436,19.413,13.2
21/11/16,15:41:09,21.772,56.300,0.1441,0.2436,18.985,12.7
