"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818211, LBL: Ambient)","RH, % (SEN S/N: 9818211)","DewPt, ¡C (SEN S/N: 9818211)","Water Content, m?/m? (SEN S/N: 9827491, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833764, LBL: 10cmBG)"
26-04-2011,18:06:49,7.770,90.500,6.3,0.2334,0.2349
26-04-2011,19:06:50,7.368,95.100,6.6,0.2334,0.2342
26-04-2011,20:06:51,6.661,97.800,6.3,0.2334,0.2342
26-04-2011,21:06:52,5.257,99.000,5.1,0.2334,0.2334
26-04-2011,22:06:53,4.999,100.000,5.0,0.2334,0.2327
26-04-2011,23:06:54,3.696,100.000,3.7,0.2334,0.2327
27-04-2011,00:06:55,3.168,100.000,3.2,0.2334,0.2327
27-04-2011,01:06:56,2.557,100.000,2.6,0.2334,0.2327
27-04-2011,02:06:57,1.588,98.400,1.4,0.2327,0.2327
27-04-2011,03:06:58,0.742,88.100,-1.0,0.2327,0.2320
27-04-2011,04:06:59,-0.171,90.600,-1.5,0.2327,0.2313
27-04-2011,05:07:00,-0.591,92.200,-1.7,0.2320,0.2313
27-04-2011,06:07:01,-1.814,88.600,-3.5,0.2334,0.2313
27-04-2011,07:07:02,-1.128,84.100,-3.5,0.2334,0.2313
27-04-2011,08:07:03,0.079,80.200,-2.9,0.2334,0.2313
27-04-2011,09:07:04,4.740,78.300,1.3,0.2327,0.2305
27-04-2011,10:07:05,11.102,54.200,2.2,0.2334,0.2313
27-04-2011,11:07:06,14.697,37.700,0.4,0.2334,0.2313
27-04-2011,12:07:07,12.001,35.300,-2.9,0.2320,0.2313
27-04-2011,13:07:08,11.662,44.300,-0.1,0.2313,0.2305
27-04-2011,14:07:09,12.461,59.300,4.8,0.2313,0.2305
27-04-2011,15:07:10,12.606,66.200,6.5,0.2305,0.2305
27-04-2011,16:07:11,12.389,71.200,7.3,0.2313,0.2305
27-04-2011,17:07:12,11.273,73.900,6.8,0.2313,0.2305
27-04-2011,18:07:13,7.895,83.500,5.3,0.2305,0.2305
27-04-2011,19:07:14,7.116,93.600,6.2,0.2305,0.2298
27-04-2011,20:07:15,6.484,96.900,6.0,0.2305,0.2298
27-04-2011,21:07:16,5.949,98.700,5.8,0.2305,0.2298
27-04-2011,22:07:17,5.616,99.700,5.6,0.2305,0.2298
27-04-2011,23:07:18,5.282,100.000,5.3,0.2305,0.2291
28-04-2011,00:07:19,5.257,100.000,5.3,0.2305,0.2291
28-04-2011,01:07:20,5.050,100.000,5.1,0.2305,0.2291
28-04-2011,02:07:21,5.102,100.000,5.1,0.2305,0.2284
28-04-2011,03:07:22,4.921,100.000,4.9,0.2305,0.2284
28-04-2011,04:07:23,4.532,100.000,4.5,0.2305,0.2291
28-04-2011,05:07:24,1.398,98.900,1.2,0.2305,0.2291
28-04-2011,06:07:25,2.236,99.300,2.1,0.2305,0.2291
28-04-2011,07:07:26,1.480,99.900,1.5,0.2305,0.2291
28-04-2011,08:07:27,0.687,99.600,0.6,0.2305,0.2284
28-04-2011,09:07:28,4.115,100.000,4.1,0.2298,0.2284
28-04-2011,10:07:29,8.494,99.700,8.5,0.2305,0.2291
28-04-2011,11:07:30,14.170,87.600,12.2,0.2305,0.2298
28-04-2011,12:07:31,12.751,72.700,8.0,0.2305,0.2305
28-04-2011,13:07:32,11.832,75.400,7.6,0.2298,0.2305
28-04-2011,14:07:33,14.074,74.600,9.6,0.2298,0.2298
28-04-2011,15:07:34,12.558,73.900,8.0,0.2298,0.2298
28-04-2011,16:07:35,12.678,72.700,7.9,0.2298,0.2298
28-04-2011,17:07:36,11.492,71.000,6.4,0.2298,0.2291
28-04-2011,18:07:37,6.560,76.300,2.7,0.2298,0.2284
28-04-2011,19:07:38,4.714,89.200,3.1,0.2291,0.2269
28-04-2011,20:07:39,3.142,90.300,1.7,0.2291,0.2269
28-04-2011,21:07:40,5.514,98.200,5.3,0.2291,0.2262
28-04-2011,22:07:41,3.591,96.100,3.0,0.2291,0.2269
28-04-2011,23:07:42,0.605,92.800,-0.4,0.2291,0.2269
29-04-2011,00:07:43,-0.088,94.100,-0.9,0.2284,0.2262
29-04-2011,01:07:44,-0.143,95.300,-0.8,0.2291,0.2262
29-04-2011,02:07:45,-0.423,95.400,-1.1,0.2291,0.2262
29-04-2011,03:07:46,0.135,96.800,-0.3,0.2291,0.2254
29-04-2011,04:07:47,-0.620,95.700,-1.2,0.2291,0.2254
29-04-2011,05:07:48,-1.128,95.600,-1.7,0.2291,0.2254
29-04-2011,06:07:49,-1.670,95.000,-2.4,0.2284,0.2247
29-04-2011,07:07:50,-1.986,93.300,-2.9,0.2291,0.2247
29-04-2011,08:07:51,-2.102,94.000,-2.9,0.2284,0.2247
29-04-2011,09:07:52,1.534,97.400,1.2,0.2284,0.2254
29-04-2011,10:07:53,9.805,97.800,9.5,0.2291,0.2254
29-04-2011,11:07:54,15.079,73.600,10.4,0.2291,0.2262
29-04-2011,12:07:55,12.799,64.900,6.4,0.2284,0.2269
29-04-2011,13:07:56,13.137,70.000,7.8,0.2291,0.2269
29-04-2011,14:07:57,13.353,70.100,8.0,0.2284,0.2269
29-04-2011,15:07:58,15.103,76.300,11.0,0.2284,0.2262
29-04-2011,16:07:59,15.843,82.000,12.8,0.2284,0.2262
29-04-2011,17:08:00,11.516,83.100,8.8,0.2284,0.2269
29-04-2011,18:08:01,7.745,87.700,5.8,0.2276,0.2262
29-04-2011,19:08:02,6.560,93.400,5.6,0.2276,0.2254
29-04-2011,20:08:03,6.889,96.800,6.4,0.2284,0.2254
29-04-2011,21:08:04,6.408,97.200,6.0,0.2276,0.2254
29-04-2011,22:08:05,2.584,94.500,1.8,0.2276,0.2254
29-04-2011,23:08:06,1.371,93.600,0.5,0.2276,0.2247
30-04-2011,00:08:07,0.163,94.300,-0.6,0.2276,0.2240
30-04-2011,01:08:08,0.135,95.400,-0.5,0.2269,0.2240
30-04-2011,02:08:09,0.495,97.100,0.1,0.2276,0.2240
30-04-2011,03:08:10,-0.676,95.000,-1.4,0.2269,0.2233
30-04-2011,04:08:11,-0.648,95.500,-1.3,0.2269,0.2233
30-04-2011,05:08:12,-1.270,95.400,-1.9,0.2269,0.2225
30-04-2011,06:08:13,-1.842,94.800,-2.6,0.2269,0.2225
30-04-2011,07:08:14,-2.276,93.300,-3.2,0.2269,0.2225
30-04-2011,08:08:15,-2.363,94.100,-3.2,0.2269,0.2225
30-04-2011,09:08:16,0.107,95.600,-0.5,0.2269,0.2225
30-04-2011,10:08:17,8.245,98.500,8.0,0.2276,0.2225
30-04-2011,11:08:18,12.243,87.400,10.2,0.2284,0.2240
30-04-2011,12:08:19,10.858,75.300,6.7,0.2276,0.2247
30-04-2011,13:08:20,10.394,80.100,7.1,0.2276,0.2247
30-04-2011,14:08:21,10.565,81.700,7.6,0.2269,0.2247
30-04-2011,15:08:22,11.370,84.000,8.8,0.2269,0.2247
30-04-2011,16:08:23,12.001,86.800,9.9,0.2276,0.2247
30-04-2011,17:08:24,11.589,86.400,9.4,0.2269,0.2247
30-04-2011,18:08:25,5.745,84.900,3.4,0.2269,0.2240
30-04-2011,19:08:26,1.425,87.500,-0.4,0.2262,0.2233
30-04-2011,20:08:27,-0.199,91.200,-1.5,0.2262,0.2225
30-04-2011,21:08:28,0.107,93.600,-0.8,0.2262,0.2225
30-04-2011,22:08:29,1.126,95.600,0.5,0.2262,0.2218
30-04-2011,23:08:30,1.805,97.600,1.5,0.2262,0.2218
01-05-2011,00:08:31,2.316,98.700,2.1,0.2262,0.2218
01-05-2011,01:08:32,4.168,99.600,4.1,0.2262,0.2218
01-05-2011,02:08:33,5.385,100.000,5.4,0.2262,0.2218
01-05-2011,03:08:34,6.204,100.000,6.2,0.2262,0.2218
01-05-2011,04:08:35,6.433,100.000,6.4,0.2269,0.2218
01-05-2011,05:08:36,6.331,100.000,6.3,0.2262,0.2218
01-05-2011,06:08:37,6.179,100.000,6.2,0.2269,0.2218
01-05-2011,07:08:38,5.949,100.000,6.0,0.2262,0.2225
01-05-2011,08:08:39,5.898,100.000,5.9,0.2269,0.2218
01-05-2011,09:08:40,6.864,100.000,6.9,0.2269,0.2218
01-05-2011,10:08:41,8.120,100.000,8.1,0.2269,0.2233
01-05-2011,11:08:42,8.916,100.000,8.9,0.2269,0.2233
01-05-2011,12:08:43,11.904,99.200,11.8,0.2276,0.2233
01-05-2011,13:08:44,12.703,94.400,11.8,0.2276,0.2247
01-05-2011,14:08:45,12.268,93.600,11.3,0.2276,0.2247
01-05-2011,15:08:46,12.751,92.300,11.5,0.2276,0.2247
01-05-2011,16:08:47,11.321,91.800,10.0,0.2269,0.2240
01-05-2011,17:08:48,9.731,92.700,8.6,0.2276,0.2240
01-05-2011,18:08:49,7.895,94.500,7.1,0.2269,0.2233
01-05-2011,19:08:50,5.282,94.500,4.5,0.2262,0.2225
01-05-2011,20:08:51,4.610,96.300,4.1,0.2269,0.2218
01-05-2011,21:08:52,4.792,97.600,4.4,0.2269,0.2218
01-05-2011,22:08:53,5.050,99.500,5.0,0.2262,0.2218
01-05-2011,23:08:54,4.947,99.400,4.9,0.2269,0.2218
02-05-2011,00:08:55,5.102,99.800,5.1,0.2269,0.2211
02-05-2011,01:08:56,4.714,99.600,4.7,0.2269,0.2218
02-05-2011,02:08:57,5.128,100.000,5.1,0.2262,0.2218
02-05-2011,03:08:58,5.282,100.000,5.3,0.2262,0.2218
02-05-2011,04:08:59,4.999,100.000,5.0,0.2262,0.2218
02-05-2011,05:09:00,4.636,100.000,4.6,0.2262,0.2218
02-05-2011,06:09:01,4.298,99.900,4.3,0.2262,0.2218
02-05-2011,07:09:02,3.985,100.000,4.0,0.2262,0.2211
02-05-2011,08:09:03,3.801,100.000,3.8,0.2262,0.2211
02-05-2011,09:09:04,5.591,100.000,5.6,0.2262,0.2218
02-05-2011,10:09:05,8.543,100.000,8.6,0.2276,0.2218
02-05-2011,11:09:06,9.485,96.600,9.0,0.2276,0.2225
02-05-2011,12:09:07,11.759,94.100,10.9,0.2276,0.2233
02-05-2011,13:09:08,12.437,90.400,10.9,0.2276,0.2233
02-05-2011,14:09:09,10.663,88.600,8.9,0.2269,0.2233
02-05-2011,15:09:10,7.870,92.100,6.7,0.2269,0.2233
02-05-2011,16:09:11,7.368,98.900,7.2,0.2276,0.2225
02-05-2011,17:09:12,7.670,99.800,7.6,0.2276,0.2225
02-05-2011,18:09:13,6.153,98.900,6.0,0.2276,0.2218
02-05-2011,19:09:14,5.719,99.600,5.7,0.2276,0.2211
02-05-2011,20:09:15,5.488,100.000,5.5,0.2284,0.2225
02-05-2011,21:09:16,5.102,100.000,5.1,0.2291,0.2254
02-05-2011,22:09:17,5.076,100.000,5.1,0.2291,0.2342
02-05-2011,23:09:18,4.246,100.000,4.2,0.2298,0.2668
03-05-2011,00:09:19,2.850,100.000,2.8,0.2298,0.2741
03-05-2011,01:09:20,3.958,100.000,4.0,0.2298,0.2748
03-05-2011,02:09:21,4.272,100.000,4.3,0.2313,0.2734
03-05-2011,03:09:22,3.932,100.000,3.9,0.2320,0.2727
03-05-2011,04:09:23,3.880,100.000,3.9,0.2327,0.2712
03-05-2011,05:09:24,3.538,100.000,3.5,0.2334,0.2690
03-05-2011,06:09:25,3.380,100.000,3.4,0.2334,0.2668
03-05-2011,07:09:26,4.011,100.000,4.0,0.2334,0.2654
03-05-2011,08:09:27,4.168,100.000,4.2,0.2342,0.2647
03-05-2011,09:09:28,4.792,100.000,4.8,0.2349,0.2647
