Site	Plot	Treatment	Year	Date	Julian	Hour	Ambient	Surface	5_cm	10_cm
1	12	OTC	2006	17/05/2006	137	16	7.83	5.4	4.99	4.57
1	12	OTC	2006	17/05/2006	137	17	3.74	2.89	4.99	4.57
1	12	OTC	2006	17/05/2006	137	18	0.29	0.29	4.99	4.99
1	12	OTC	2006	17/05/2006	137	19	-1.51	-1.06	4.57	4.57
1	12	OTC	2006	17/05/2006	137	20	-1.97	-0.61	4.57	4.57
1	12	OTC	2006	17/05/2006	137	21	-3.37	-1.51	4.15	4.57
1	12	OTC	2006	17/05/2006	137	22	-4.33	-1.97	3.74	4.57
1	12	OTC	2006	17/05/2006	137	23	-4.33	-1.97	3.74	4.15
1	12	OTC	2006	18/05/2006	138	0	-3.85	-1.97	3.31	4.15
1	12	OTC	2006	18/05/2006	138	1	-5.31	-2.44	3.31	4.15
1	12	OTC	2006	18/05/2006	138	2	-3.37	-1.51	3.31	3.74
1	12	OTC	2006	18/05/2006	138	3	-4.33	-2.44	2.89	3.74
1	12	OTC	2006	18/05/2006	138	4	-5.81	-2.9	2.89	3.74
1	12	OTC	2006	18/05/2006	138	5	-6.31	-2.9	2.89	3.74
1	12	OTC	2006	18/05/2006	138	6	-5.81	-2.9	2.89	3.74
1	12	OTC	2006	18/05/2006	138	7	-3.37	-1.51	2.46	3.31
1	12	OTC	2006	18/05/2006	138	8	1.17	-0.16	2.46	3.31
1	12	OTC	2006	18/05/2006	138	9	3.31	1.6	2.46	3.31
1	12	OTC	2006	18/05/2006	138	10	4.99	2.46	2.46	3.31
1	12	OTC	2006	18/05/2006	138	11	7.03	3.74	2.89	3.31
1	12	OTC	2006	18/05/2006	138	12	11.38	8.63	3.31	3.31
1	12	OTC	2006	18/05/2006	138	13	14.47	12.55	3.74	3.31
1	12	OTC	2006	18/05/2006	138	14	14.09	11.38	4.57	3.74
1	12	OTC	2006	18/05/2006	138	15	12.55	8.63	4.99	4.15
1	12	OTC	2006	18/05/2006	138	16	9.82	4.57	4.99	4.57
1	12	OTC	2006	18/05/2006	138	17	0.29	0.29	4.99	4.57
1	12	OTC	2006	18/05/2006	138	18	-1.51	-0.61	4.57	4.57
1	12	OTC	2006	18/05/2006	138	19	-2.9	-1.51	4.15	4.57
1	12	OTC	2006	18/05/2006	138	20	-2.9	-1.51	3.74	4.15
1	12	OTC	2006	18/05/2006	138	21	-3.85	-1.97	3.74	4.15
1	12	OTC	2006	18/05/2006	138	22	0.29	-0.61	3.31	4.15
