Site	Plot	Treatment	Year	Date	Julian	Hour	Ambient	Surface	5_cm	10_cm
1	5	OTC	2006	17/05/2006	137	16	6.22	6.22	7.43	5.81
1	5	OTC	2006	17/05/2006	137	17	2.89	3.31	7.03	5.81
1	5	OTC	2006	17/05/2006	137	18	-0.16	1.17	6.22	5.81
1	5	OTC	2006	17/05/2006	137	19	-1.97	-0.16	5.4	5.4
1	5	OTC	2006	17/05/2006	137	20	-1.97	-0.61	4.99	5.4
1	5	OTC	2006	17/05/2006	137	21	-3.85	-1.51	4.15	4.99
1	5	OTC	2006	17/05/2006	137	22	-5.31	-1.97	3.74	4.57
1	5	OTC	2006	17/05/2006	137	23	-4.82	-1.97	3.31	4.57
1	5	OTC	2006	18/05/2006	138	0	-3.85	-1.97	3.31	4.15
1	5	OTC	2006	18/05/2006	138	1	-5.31	-2.44	2.89	4.15
1	5	OTC	2006	18/05/2006	138	2	-3.85	-1.97	2.89	3.74
1	5	OTC	2006	18/05/2006	138	3	-4.82	-2.44	2.46	3.74
1	5	OTC	2006	18/05/2006	138	4	-6.31	-3.37	2.46	3.74
1	5	OTC	2006	18/05/2006	138	5	-7.33	-3.85	2.46	3.31
1	5	OTC	2006	18/05/2006	138	6	-5.81	-3.37	2.03	3.31
1	5	OTC	2006	18/05/2006	138	7	-3.37	-1.51	2.03	3.31
1	5	OTC	2006	18/05/2006	138	8	2.46	-0.61	1.6	2.89
1	5	OTC	2006	18/05/2006	138	9	4.15	1.6	1.6	2.89
1	5	OTC	2006	18/05/2006	138	10	11.38	12.93	1.6	2.89
1	5	OTC	2006	18/05/2006	138	11	14.85	21.71	2.03	2.89
1	5	OTC	2006	18/05/2006	138	12	13.7	17.14	3.74	2.89
1	5	OTC	2006	18/05/2006	138	13	16	20.19	4.57	3.31
1	5	OTC	2006	18/05/2006	138	14	13.32	14.85	5.4	3.74
1	5	OTC	2006	18/05/2006	138	15	10.21	9.82	6.22	4.15
1	5	OTC	2006	18/05/2006	138	16	6.22	5.4	6.22	4.57
1	5	OTC	2006	18/05/2006	138	17	-0.16	0.29	5.81	4.99
1	5	OTC	2006	18/05/2006	138	18	-1.06	-0.61	4.99	4.99
1	5	OTC	2006	18/05/2006	138	19	-2.9	-1.51	4.15	4.57
1	5	OTC	2006	18/05/2006	138	20	-2.9	-1.51	3.74	4.57
1	5	OTC	2006	18/05/2006	138	21	-4.33	-1.97	3.31	4.15
1	5	OTC	2006	18/05/2006	138	22	0.73	-0.61	2.89	3.74
1	5	OTC	2006	18/05/2006	138	23	2.03	1.17	2.89	3.74
1	5	OTC	2006	19/05/2006	139	0	2.46	1.6	2.89	3.74
1	5	OTC	2006	19/05/2006	139	1	2.89	2.03	2.89	3.74
1	5	OTC	2006	19/05/2006	139	2	3.74	2.46	2.89	3.31
1	5	OTC	2006	19/05/2006	139	3	3.31	2.46	2.89	3.31
1	5	OTC	2006	19/05/2006	139	4	3.31	2.03	2.89	3.31
1	5	OTC	2006	19/05/2006	139	5	2.89	2.03	2.89	3.31
1	5	OTC	2006	19/05/2006	139	6	3.31	2.46	2.89	3.31
1	5	OTC	2006	19/05/2006	139	7	3.74	2.89	2.89	3.31
1	5	OTC	2006	19/05/2006	139	8	4.15	3.31	3.31	3.31
1	5	OTC	2006	19/05/2006	139	9	4.15	3.74	3.31	3.31
1	5	OTC	2006	19/05/2006	139	10	5.4	5.81	3.31	3.74
1	5	OTC	2006	19/05/2006	139	11	5.4	5.81	3.74	3.74
1	5	OTC	2006	19/05/2006	139	12	5.81	6.22	4.15	3.74
1	5	OTC	2006	19/05/2006	139	13	5.81	6.22	4.15	3.74
1	5	OTC	2006	19/05/2006	139	14	7.03	8.23	4.57	4.15
1	5	OTC	2006	19/05/2006	139	15	5.81	5.81	4.57	4.15
1	5	OTC	2006	19/05/2006	139	16	5.4	4.99	4.57	4.15
1	5	OTC	2006	19/05/2006	139	17	4.99	4.15	4.57	4.15
1	5	OTC	2006	19/05/2006	139	18	3.31	2.46	4.57	4.15
1	5	OTC	2006	19/05/2006	139	19	2.89	2.03	4.15	4.15
1	5	OTC	2006	19/05/2006	139	20	3.74	2.89	3.74	4.15
1	5	OTC	2006	19/05/2006	139	21	2.46	1.17	3.74	4.15
1	5	OTC	2006	19/05/2006	139	22	2.46	1.17	3.74	4.15
1	5	OTC	2006	19/05/2006	139	23	2.46	1.6	3.31	3.74
1	5	OTC	2006	20/05/2006	140	0	2.46	2.03	3.31	3.74
1	5	OTC	2006	20/05/2006	140	1	2.46	1.6	3.31	3.74
1	5	OTC	2006	20/05/2006	140	2	1.17	0.29	3.31	3.74
1	5	OTC	2006	20/05/2006	140	3	2.03	1.6	2.89	3.74
1	5	OTC	2006	20/05/2006	140	4	-0.16	-0.61	2.89	3.74
1	5	OTC	2006	20/05/2006	140	5	-1.06	-1.06	2.89	3.74
1	5	OTC	2006	20/05/2006	140	6	-2.9	-1.97	2.89	3.31
1	5	OTC	2006	20/05/2006	140	7	-2.44	-1.51	2.46	3.31
1	5	OTC	2006	20/05/2006	140	8	0.29	-0.16	2.46	3.31
1	5	OTC	2006	20/05/2006	140	9	2.03	2.89	2.46	3.31
1	5	OTC	2006	20/05/2006	140	10	8.63	17.9	2.46	3.31
1	5	OTC	2006	20/05/2006	140	11	7.03	13.7	3.74	3.31
1	5	OTC	2006	20/05/2006	140	12	3.31	7.03	4.15	3.31
1	5	OTC	2006	20/05/2006	140	13	2.46	6.22	4.15	3.74
1	5	OTC	2006	20/05/2006	140	14	3.31	7.83	4.15	3.74
1	5	OTC	2006	20/05/2006	140	15	2.03	5.81	4.57	3.74
1	5	OTC	2006	20/05/2006	140	16	0.73	3.74	4.57	4.15
1	5	OTC	2006	20/05/2006	140	17	-0.16	2.03	4.15	4.15
1	5	OTC	2006	20/05/2006	140	18	-0.16	1.17	3.74	4.15
1	5	OTC	2006	20/05/2006	140	19	-0.16	0.73	3.74	4.15
1	5	OTC	2006	20/05/2006	140	20	-0.61	-0.16	3.31	3.74
1	5	OTC	2006	20/05/2006	140	21	-2.9	-1.97	3.31	3.74
1	5	OTC	2006	20/05/2006	140	22	-3.37	-1.51	2.89	3.74
1	5	OTC	2006	20/05/2006	140	23	-4.82	-2.44	2.89	3.74
1	5	OTC	2006	21/05/2006	141	0	-4.82	-2.9	2.46	3.31
