"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818223, LBL: Ambient)","RH, % (SEN S/N: 9818223)","DewPt, ¡C (SEN S/N: 9818223)","Temp, ¡C (SEN S/N: 9824747, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833750, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833763, LBL: 10cmBG)"
02-11-2011,16:22:47,11.807,72.100,7.0,15.843,0.1978,0.2850
02-11-2011,17:22:48,8.941,74.100,4.6,15.461,0.1971,0.2836
02-11-2011,18:22:49,9.558,75.900,5.5,14.601,0.1964,0.2828
02-11-2011,19:22:50,6.026,82.700,3.3,13.762,0.1957,0.2836
02-11-2011,20:22:51,4.063,88.800,2.4,12.268,0.1942,0.2843
02-11-2011,21:22:52,2.236,92.800,1.2,10.980,0.1942,0.2836
02-11-2011,22:22:53,0.467,96.100,-0.1,9.854,0.1935,0.2821
02-11-2011,23:22:54,1.153,95.500,0.5,9.015,0.1935,0.2821
03-11-2011,00:22:55,0.632,95.300,-0.0,8.568,0.1928,0.2828
03-11-2011,01:22:56,-1.756,95.800,-2.3,7.970,0.1920,0.2821
03-11-2011,02:22:57,-3.717,95.800,-4.3,7.091,0.1920,0.2763
03-11-2011,03:22:58,-5.511,95.200,-6.2,6.255,0.1920,0.2799
03-11-2011,04:22:59,-4.439,97.000,-4.9,5.514,0.1913,0.2821
03-11-2011,05:23:00,-2.102,99.200,-2.2,5.257,0.1913,0.2799
03-11-2011,06:23:01,-3.657,95.000,-4.4,5.076,0.1906,0.2763
03-11-2011,07:23:02,1.859,86.400,-0.2,4.947,0.1913,0.2770
03-11-2011,08:23:03,10.467,58.400,2.7,5.668,0.1906,0.2770
03-11-2011,09:23:04,15.963,37.800,1.6,7.469,0.1906,0.2770
03-11-2011,10:23:05,14.745,36.600,0.1,10.712,0.1920,0.2770
03-11-2011,11:23:06,22.393,37.700,7.3,15.867,0.1928,0.2777
03-11-2011,12:23:07,22.513,38.500,7.7,21.366,0.1957,0.2777
03-11-2011,13:23:08,23.304,40.000,9.0,24.508,0.1971,0.2792
03-11-2011,14:23:09,22.441,41.500,8.7,26.085,0.1986,0.2814
03-11-2011,15:23:10,17.272,46.500,5.7,23.785,0.1964,0.2799
03-11-2011,16:23:11,31.433,40.400,16.4,22.944,0.1964,0.2785
03-11-2011,17:23:12,13.522,55.300,4.7,21.843,0.1942,0.2799
