Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 10284092, LBL: Rain)","Temp, °C (SEN S/N: 9824749, LBL: Temp (10cm))",,"Temp, °C (SEN S/N: 9824744, LBL: Temp (5cm))","Temp, °C (SEN S/N: 9824741, LBL: Temp (Surface))","Temp, °C (SEN S/N: 9818217, LBL: Ambient Temp (1.2 m))","RH, % (SEN S/N: 9818217, LBL: Relative Humidity)","DewPt, °C (SEN S/N: 9818217)",,,,,"Water Content, m³/m³ (SEN S/N: 2282783, LBL: Soil Moisture (5cm))"
29/5/14,16:00:00,0,6.585,,6.965,7.619,4.558,93.3,3.6,,,,,0.2069
29/5/14,17:00:00,0,6.535,,6.813,6.94,3.722,97.8,3.4,,,,,0.2069
29/5/14,18:00:00,0,6.382,,6.458,6.077,3.274,98,3,,,,,0.2065
29/5/14,19:00:00,0,6.179,,6.179,5.616,3.195,99.1,3.1,,,,,0.2061
29/5/14,20:00:00,0,6.026,,5.949,5.128,2.021,98.7,1.8,,,,,0.2061
29/5/14,21:00:00,0,5.872,,5.693,4.48,0.55,100,0.5,,,,,0.2061
29/5/14,22:00:00,0,5.668,,5.385,3.221,-0.958,100,-1,,,,,0.2057
29/5/14,23:00:00,0,5.36,,4.895,2.343,-0.088,100,-0.1,,,,,0.2057
30/5/14,0:00:00,0,5.024,,4.454,1.994,1.017,99.7,1,,,,,0.2057
30/5/14,1:00:00,0,4.766,,4.141,1.832,1.235,100,1.2,,,,,0.2052
30/5/14,2:00:00,0,4.584,,3.932,1.886,1.697,99.8,1.7,,,,,0.2052
30/5/14,3:00:00,0,4.428,,3.801,2.074,2.289,97.4,1.9,,,,,0.2052
30/5/14,4:00:00,0,4.324,,3.696,2.37,2.236,98.2,2,,,,,0.2048
30/5/14,5:00:00,0,4.246,,3.67,2.396,1.724,98.1,1.5,,,,,0.2048
30/5/14,6:00:00,0,4.168,,3.591,2.182,1.18,98.6,1,,,,,0.2048
30/5/14,7:00:00,0,4.089,,3.512,2.074,1.561,98,1.3,,,,,0.2044
30/5/14,8:00:00,0,4.011,,3.406,2.074,2.021,97.7,1.7,,,,,0.204
30/5/14,9:00:00,0,3.932,,3.354,3.248,3.354,96.3,2.8,,,,,0.204
30/5/14,10:00:00,0,3.932,,3.485,5.565,4.376,93.8,3.5,,,,,0.204
30/5/14,11:00:00,0,4.115,,3.827,7.645,5.514,90,4,,,,,0.2036
30/5/14,12:00:00,0,4.428,,4.402,8.891,5.616,88.2,3.8,,,,,0.2031
30/5/14,13:00:00,0,4.844,,4.999,9.509,5.975,87.1,4,,,,,0.2027
30/5/14,14:00:00,0,5.334,,5.668,9.064,6.331,87.4,4.4,,,,,0.2027
30/5/14,15:00:00,0,5.77,,6.153,8.568,5.076,86,2.9,,,,,0.2023
30/5/14,16:00:00,0,5.975,,6.331,7.343,3.985,88.9,2.3,,,,,0.2019
30/5/14,17:00:00,0,6,,6.179,5.231,2.182,90.7,0.8,,,,,0.2014
30/5/14,18:00:00,0,5.77,,5.668,4.063,2.477,93,1.5,,,,,0.2014
30/5/14,19:00:00,0,5.462,,5.205,3.274,3.116,93.2,2.1,,,,,0.2014
30/5/14,20:00:00,0,5.154,,4.766,3.089,3.195,93.3,2.2,,,,,0.201
30/5/14,21:00:00,0,4.921,,4.454,2.956,3.512,94.5,2.7,,,,,0.201
30/5/14,22:00:00,0,4.74,,4.246,2.877,3.327,95.1,2.6,,,,,0.201
30/5/14,23:00:00,0,4.584,,4.089,2.744,2.262,95.7,1.6,,,,,0.201
31/5/14,0:00:00,0,4.454,,3.932,2.477,3.221,95.3,2.5,,,,,0.2006
31/5/14,1:00:00,0,4.324,,3.801,2.664,3.116,94.5,2.3,,,,,0.2006
31/5/14,2:00:00,0,4.246,,3.749,2.797,3.88,94.6,3.1,,,,,0.2006
31/5/14,3:00:00,0,4.22,,3.749,3.036,3.88,96.5,3.4,,,,,0.2006
31/5/14,4:00:00,0,4.22,,3.801,3.564,3.958,99.5,3.9,,,,,0.2002
31/5/14,5:00:00,0,4.298,,3.985,3.775,3.696,100,3.7,,,,,0.2002
31/5/14,6:00:00,0,4.376,,4.089,3.722,3.38,100,3.4,,,,,0.1997
31/5/14,7:00:00,0,4.376,,4.089,3.089,2.903,96,2.3,,,,,0.1997
31/5/14,8:00:00,0,4.298,,3.88,2.477,3.617,93.3,2.6,,,,,0.1997
31/5/14,9:00:00,0,4.168,,3.696,3.063,4.272,90.5,2.9,,,,,0.1997
31/5/14,10:00:00,0,4.141,,3.775,4.61,5.154,93.3,4.2,,,,,0.1993
31/5/14,11:00:00,0,4.35,,4.22,5.539,5.411,93.9,4.5,,,,,0.1989
31/5/14,12:00:00,0,4.636,,4.688,6.56,6.535,93,5.5,,,,,0.1989
31/5/14,13:00:00,0,5.024,,5.257,7.594,7.192,89.6,5.6,,,,,0.1985
31/5/14,14:00:00,0,5.385,,5.77,8.07,7.945,88.2,6.1,,,,,0.1985
31/5/14,15:00:00,0,5.719,,6.179,8.02,7.82,86.5,5.7,,,,,0.198
31/5/14,16:00:00,0,5.924,,6.357,7.343,6.661,93.2,5.6,,,,,0.1976
31/5/14,17:00:00,0,5.975,,6.255,6.535,6.306,95.9,5.7,,,,,0.1976
31/5/14,18:00:00,0,5.898,,6.077,5.924,6.331,97.7,6,,,,,0.1972
31/5/14,19:00:00,0,5.77,,5.872,5.872,6.433,96.9,6,,,,,0.1972
31/5/14,20:00:00,0,5.719,,5.796,5.898,6.128,98.2,5.9,,,,,0.1972
31/5/14,21:00:00,0,5.693,,5.745,5.668,6.026,97.1,5.6,,,,,0.1968
31/5/14,22:00:00,0,5.642,,5.668,5.539,5.898,95.9,5.3,,,,,0.1968
31/5/14,23:00:00,0,5.616,,5.616,5.668,6.23,97.3,5.8,,,,,0.1968
1/6/14,0:00:00,0.4,5.616,,5.642,5.77,6.255,97.9,6,,,,,0.1968
1/6/14,1:00:00,0.4,5.616,,5.668,5.821,5.924,99.2,5.8,,,,,0.1968
1/6/14,2:00:00,0,5.642,,5.693,5.796,6,99.2,5.9,,,,,0.1972
