Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163, LBL: Rain)","Temp, °C (SEN S/N: 9824749, LBL: Temp (10cm))",,"Temp, °C (SEN S/N: 9824744, LBL: Temp (5cm))","Temp, °C (SEN S/N: 9824741, LBL: Temp (Surface))","Temp, °C (SEN S/N: 9818217, LBL: Ambient Temp (1.2 m))","RH, % (SEN S/N: 9818217, LBL: Relative Humidity)","DewPt, °C (SEN S/N: 9818217)",,,,,"Water Content, m³/m³ (SEN S/N: 2282783, LBL: Soil Moisture (5cm))"
24/10/12,14:00:00,0,6.99,,7.87,10.467,8.145,59.1,0.6,,,,,0.1658
24/10/12,15:00:00,0,7.041,,8.07,10.663,7.594,60.1,0.4,,,,,0.1671
24/10/12,16:00:00,0,7.192,,8.12,9.903,8.369,58.7,0.8,,,,,0.1675
24/10/12,17:00:00,0,7.242,,8.22,10.001,7.242,60.9,0.2,,,,,0.1679
24/10/12,18:00:00,0,7.268,,7.97,7.72,6.914,66.3,1.1,,,,,0.1683
24/10/12,19:00:00,0,7.116,,7.494,6.687,6.687,57.7,-1.1,,,,,0.1688
24/10/12,20:00:00,0,6.889,,7.041,5.539,5.924,53.8,-2.7,,,,,0.1692
24/10/12,21:00:00,0,6.636,,6.509,4.194,6.204,62.9,-0.3,,,,,0.1696
24/10/12,22:00:00,0,6.357,,6.051,4.272,7.444,58.2,-0.2,,,,,0.1705
24/10/12,23:00:00,0,6.128,,5.796,4.558,8.469,42.2,-3.6,,,,,0.1709
25/10/12,0:00:00,0,5.975,,5.616,4.376,6.813,53.7,-1.9,,,,,0.1713
25/10/12,1:00:00,0,5.821,,5.437,3.985,7.444,57.9,-0.3,,,,,0.1717
25/10/12,2:00:00,0,5.693,,5.257,4.011,7.217,58.9,-0.3,,,,,0.1722
25/10/12,3:00:00,0,5.591,,5.179,4.246,7.393,62,0.6,,,,,0.1726
25/10/12,4:00:00,0,5.488,,5.102,4.22,7.82,62.2,1,,,,,0.1726
25/10/12,5:00:00,0,5.437,,5.076,4.584,8.295,58.9,0.7,,,,,0.173
25/10/12,6:00:00,0,5.411,,5.102,4.766,8.319,57.4,0.4,,,,,0.173
25/10/12,7:00:00,0,5.385,,5.102,4.662,8.12,57.8,0.3,,,,,0.173
25/10/12,8:00:00,0,5.36,,5.154,5.821,8.965,57.9,1.1,,,,,0.173
25/10/12,9:00:00,0,5.437,,5.462,8.494,9.238,58.1,1.4,,,,,0.1722
25/10/12,10:00:00,0,5.719,,6.153,11.127,10.026,57.3,2,,,,,0.1713
25/10/12,11:00:00,0,6.179,,7.142,14.218,10.149,62.6,3.3,,,,,0.17
25/10/12,12:00:00,0,6.813,,8.369,17.891,10.541,65.2,4.3,,,,,0.1688
25/10/12,13:00:00,0,7.67,,9.706,18.081,9.386,65,3.2,,,,,0.1675
25/10/12,14:00:00,0,8.369,,10.443,14.433,8.965,74.3,4.6,,,,,0.1671
