"Date","Time, GMT+11:00","Water Content, m³/m³ (LGR S/N: 9832566, SEN S/N: 9833752, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832566, SEN S/N: 10284205)","RH, % (LGR S/N: 9832566, SEN S/N: 10284205)","DewPt, °C (LGR S/N: 9832566, SEN S/N: 10284205)"
09/05/16,08:22:36,0.2596,9.558,100.000,9.6
09/05/16,09:22:37,0.2596,9.632,100.000,9.6
09/05/16,10:22:38,0.2589,9.682,100.000,9.7
09/05/16,11:22:39,0.2596,10.051,100.000,10.1
09/05/16,12:22:40,0.2763,10.051,100.000,10.1
09/05/16,13:22:41,0.2850,9.903,100.000,9.9
09/05/16,14:22:42,0.2908,9.952,100.000,10.0
09/05/16,15:22:43,0.2937,7.845,99.900,7.8
09/05/16,16:22:44,0.2741,5.154,99.100,5.0
09/05/16,17:22:45,0.2625,4.037,99.100,3.9
09/05/16,18:22:46,0.2574,4.610,99.900,4.6
09/05/16,19:22:47,0.2538,5.360,100.000,5.4
09/05/16,20:22:48,0.2639,5.616,100.000,5.6
09/05/16,21:22:49,0.2836,5.488,100.000,5.5
09/05/16,22:22:50,0.2806,5.334,100.000,5.3
09/05/16,23:22:51,0.2944,5.385,100.000,5.4
10/05/16,00:22:52,0.2995,5.308,100.000,5.3
10/05/16,01:22:53,0.3003,5.385,100.000,5.4
10/05/16,02:22:54,0.2995,5.437,100.000,5.4
10/05/16,03:22:55,0.3024,5.334,100.000,5.3
10/05/16,04:22:56,0.2952,5.360,100.000,5.4
10/05/16,05:22:57,0.2814,5.076,100.000,5.1
10/05/16,06:22:58,0.2763,5.024,100.000,5.0
10/05/16,07:22:59,0.2698,4.454,100.000,4.5
10/05/16,08:23:00,0.2618,4.532,100.000,4.5
10/05/16,09:23:01,0.2589,4.324,100.000,4.3
10/05/16,10:23:02,0.2574,4.792,100.000,4.8
10/05/16,11:23:03,0.2632,4.947,100.000,4.9
10/05/16,12:23:04,0.2690,5.154,100.000,5.2
10/05/16,13:23:05,0.2741,5.334,100.000,5.3
10/05/16,14:23:06,0.2734,4.740,99.900,4.7
10/05/16,15:23:07,0.2647,6.864,100.000,6.9
10/05/16,16:23:08,0.2596,5.719,100.000,5.7
10/05/16,17:23:09,0.2567,4.584,99.900,4.6
10/05/16,18:23:10,0.2538,2.956,99.000,2.8
10/05/16,19:23:11,0.2523,2.262,98.500,2.0
10/05/16,20:23:12,0.2501,1.778,98.400,1.6
10/05/16,21:23:13,0.2494,1.561,98.500,1.3
10/05/16,22:23:14,0.2480,1.507,98.700,1.3
10/05/16,23:23:15,0.2465,1.615,98.600,1.4
11/05/16,00:23:16,0.2458,1.398,98.500,1.2
11/05/16,01:23:17,0.2451,1.453,98.300,1.2
11/05/16,02:23:18,0.2451,1.561,98.300,1.3
11/05/16,03:23:19,0.2443,1.724,98.300,1.5
11/05/16,04:23:20,0.2443,1.832,98.200,1.6
11/05/16,05:23:21,0.2436,1.940,98.100,1.7
11/05/16,06:23:22,0.2436,1.940,98.000,1.7
11/05/16,07:23:23,0.2429,2.021,98.100,1.8
11/05/16,08:23:24,0.2422,2.074,98.100,1.8
11/05/16,09:23:25,0.2422,2.074,98.000,1.8
11/05/16,10:23:26,0.2414,2.021,98.100,1.8
11/05/16,11:23:27,0.2414,1.967,98.100,1.7
11/05/16,12:23:28,0.2407,1.832,98.300,1.6
11/05/16,13:23:29,0.2625,1.832,98.600,1.6
11/05/16,14:23:30,0.2639,1.643,98.800,1.5
11/05/16,15:23:31,0.2647,1.832,99.100,1.7
11/05/16,16:23:32,0.2610,1.778,99.100,1.6
11/05/16,17:23:33,0.2581,1.832,99.200,1.7
11/05/16,18:23:34,0.2552,2.209,99.300,2.1
11/05/16,19:23:35,0.2574,2.557,99.700,2.5
11/05/16,20:23:36,0.2618,2.797,99.800,2.8
11/05/16,21:23:37,0.2647,3.089,100.000,3.1
11/05/16,22:23:38,0.2705,3.301,100.000,3.3
11/05/16,23:23:39,0.2734,3.591,100.000,3.6
12/05/16,00:23:40,0.2734,3.749,100.000,3.8
12/05/16,01:23:41,0.2719,3.932,100.000,3.9
12/05/16,02:23:42,0.2763,4.141,100.000,4.1
12/05/16,03:23:43,0.2770,4.324,100.000,4.3
12/05/16,04:23:44,0.2777,4.480,100.000,4.5
12/05/16,05:23:45,0.2756,4.636,100.000,4.6
12/05/16,06:23:46,0.2741,4.818,100.000,4.8
12/05/16,07:23:47,0.2698,4.869,100.000,4.9
12/05/16,08:23:48,0.2683,4.947,100.000,4.9
12/05/16,09:23:49,0.2661,5.257,100.000,5.3
12/05/16,10:23:50,0.2625,5.975,100.000,6.0
12/05/16,11:23:51,0.2610,6.484,100.000,6.5
12/05/16,12:23:52,0.2603,7.268,100.000,7.3
12/05/16,13:23:53,0.2610,7.293,100.000,7.3
12/05/16,14:23:54,0.2603,7.041,100.000,7.0
12/05/16,15:23:55,0.2581,6.737,100.000,6.7
12/05/16,16:23:56,0.2567,6.636,100.000,6.6
12/05/16,17:23:57,0.2560,6.458,100.000,6.5
12/05/16,18:23:58,0.2567,6.179,100.000,6.2
12/05/16,19:23:59,0.2589,6.204,100.000,6.2
12/05/16,20:24:00,0.2618,6.128,100.000,6.1
12/05/16,21:24:01,0.2618,5.898,100.000,5.9
12/05/16,22:24:02,0.2610,5.565,100.000,5.6
12/05/16,23:24:03,0.2603,5.411,100.000,5.4
13/05/16,00:24:04,0.2581,5.437,100.000,5.4
13/05/16,01:24:05,0.2567,5.308,100.000,5.3
13/05/16,02:24:06,0.2552,5.360,100.000,5.4
13/05/16,03:24:07,0.2545,5.205,100.000,5.2
13/05/16,04:24:08,0.2530,5.257,100.000,5.3
13/05/16,05:24:09,0.2530,5.050,100.000,5.1
13/05/16,06:24:10,0.2523,4.895,100.000,4.9
13/05/16,07:24:11,0.2509,5.102,100.000,5.1
13/05/16,08:24:12,0.2509,5.024,100.000,5.0
13/05/16,09:24:13,0.2501,5.282,100.000,5.3
13/05/16,10:24:14,0.2501,5.975,100.000,6.0
13/05/16,11:24:15,0.2501,6.965,100.000,7.0
13/05/16,12:24:16,0.2494,8.145,100.000,8.2
13/05/16,13:24:17,0.2494,7.645,100.000,7.7
13/05/16,14:24:18,0.2494,8.145,99.400,8.1
13/05/16,15:24:19,0.2487,8.170,97.300,7.8
13/05/16,16:24:20,0.2480,7.041,96.000,6.5
13/05/16,17:24:21,0.2472,5.693,96.600,5.2
13/05/16,18:24:22,0.2465,4.947,96.700,4.5
13/05/16,19:24:23,0.2458,4.480,97.300,4.1
13/05/16,20:24:24,0.2443,4.298,97.700,4.0
13/05/16,21:24:25,0.2436,4.011,97.900,3.7
13/05/16,22:24:26,0.2429,3.880,97.900,3.6
13/05/16,23:24:27,0.2429,3.827,98.300,3.6
14/05/16,00:24:28,0.2422,3.485,98.400,3.3
14/05/16,01:24:29,0.2414,3.380,98.400,3.2
14/05/16,02:24:30,0.2414,3.617,98.400,3.4
14/05/16,03:24:31,0.2407,3.380,98.500,3.2
14/05/16,04:24:32,0.2400,3.195,98.600,3.0
14/05/16,05:24:33,0.2400,3.485,98.900,3.3
14/05/16,06:24:34,0.2392,3.932,99.300,3.8
14/05/16,07:24:35,0.2392,4.063,99.700,4.0
14/05/16,08:24:36,0.2392,4.168,99.800,4.1
14/05/16,09:24:37,0.2385,4.428,100.000,4.4
14/05/16,10:24:38,0.2385,4.740,100.000,4.7
14/05/16,11:24:39,0.2385,5.024,100.000,5.0
14/05/16,12:24:40,0.2385,5.385,100.000,5.4
14/05/16,13:24:41,0.2385,5.514,100.000,5.5
14/05/16,14:24:42,0.2378,5.719,100.000,5.7
14/05/16,15:24:43,0.2378,5.745,100.000,5.7
14/05/16,16:24:44,0.2378,5.872,100.000,5.9
14/05/16,17:24:45,0.2378,5.693,100.000,5.7
14/05/16,18:24:46,0.2371,5.437,100.000,5.4
14/05/16,19:24:47,0.2371,5.360,100.000,5.4
14/05/16,20:24:48,0.2371,5.462,100.000,5.5
14/05/16,21:24:49,0.2371,5.745,100.000,5.7
14/05/16,22:24:50,0.2363,5.745,100.000,5.7
14/05/16,23:24:51,0.2363,5.693,100.000,5.7
15/05/16,00:24:52,0.2363,5.821,100.000,5.8
15/05/16,01:24:53,0.2356,5.872,100.000,5.9
15/05/16,02:24:54,0.2356,5.539,100.000,5.5
15/05/16,03:24:55,0.2356,5.642,100.000,5.6
15/05/16,04:24:56,0.2356,5.539,100.000,5.5
15/05/16,05:24:57,0.2356,5.308,99.700,5.3
15/05/16,06:24:58,0.2349,4.844,99.200,4.7
15/05/16,07:24:59,0.2349,4.947,98.800,4.8
15/05/16,08:25:00,0.2349,4.844,98.900,4.7
15/05/16,09:25:01,0.2342,5.050,98.700,4.9
15/05/16,10:25:02,0.2342,6.408,96.800,5.9
15/05/16,11:25:03,0.2342,8.070,92.400,6.9
15/05/16,12:25:04,0.2342,8.916,90.000,7.4
15/05/16,13:25:05,0.2334,9.435,87.700,7.5
15/05/16,14:25:06,0.2334,9.163,85.400,6.9
15/05/16,15:25:07,0.2334,8.419,86.000,6.2
15/05/16,16:25:08,0.2334,7.670,87.700,5.8
15/05/16,17:25:09,0.2327,6.204,90.200,4.7
15/05/16,18:25:10,0.2327,5.411,91.900,4.2
15/05/16,19:25:11,0.2320,5.050,93.300,4.1
15/05/16,20:25:12,0.2320,4.350,93.500,3.4
15/05/16,21:25:13,0.2313,3.775,93.000,2.7
15/05/16,22:25:14,0.2313,3.564,92.900,2.5
15/05/16,23:25:15,0.2305,4.168,94.800,3.4
16/05/16,00:25:16,0.2305,3.985,95.300,3.3
16/05/16,01:25:17,0.2305,3.433,94.900,2.7
16/05/16,02:25:18,0.2298,2.584,93.300,1.6
16/05/16,03:25:19,0.2298,2.316,92.800,1.3
16/05/16,04:25:20,0.2298,2.396,93.500,1.5
16/05/16,05:25:21,0.2291,2.610,94.400,1.8
16/05/16,06:25:22,0.2291,2.503,95.000,1.8
16/05/16,07:25:23,0.2298,2.182,95.000,1.5
16/05/16,08:25:24,0.2291,2.316,95.000,1.6
16/05/16,09:25:25,0.2291,3.089,96.600,2.6
16/05/16,10:25:26,0.2291,3.749,97.300,3.4
16/05/16,11:25:27,0.2291,4.895,96.400,4.4
16/05/16,12:25:28,0.2291,6.737,92.500,5.6
16/05/16,13:25:29,0.2291,6.763,88.300,5.0
16/05/16,14:25:30,0.2291,6.382,88.200,4.6
16/05/16,15:25:31,0.2291,6.839,87.200,4.9
16/05/16,16:25:32,0.2291,5.616,90.300,4.2
16/05/16,17:25:33,0.2291,5.024,93.800,4.1
16/05/16,18:25:34,0.2284,4.869,95.100,4.2
16/05/16,19:25:35,0.2276,4.766,96.400,4.2
16/05/16,20:25:36,0.2647,4.298,97.300,3.9
16/05/16,21:25:37,0.2785,4.089,97.800,3.8
16/05/16,22:25:38,0.2727,4.428,98.500,4.2
16/05/16,23:25:39,0.2661,4.636,98.900,4.5
17/05/16,00:25:40,0.2610,4.714,99.200,4.6
17/05/16,01:25:41,0.2574,4.869,99.400,4.8
17/05/16,02:25:42,0.2552,5.050,99.600,5.0
17/05/16,03:25:43,0.2538,5.050,99.700,5.0
17/05/16,04:25:44,0.2523,4.869,99.700,4.8
17/05/16,05:25:45,0.2516,4.220,99.500,4.2
17/05/16,06:25:46,0.2501,3.354,99.000,3.2
17/05/16,07:25:47,0.2494,2.717,98.600,2.5
17/05/16,08:25:48,0.2480,2.047,98.200,1.8
17/05/16,09:25:49,0.2472,2.343,98.000,2.1
17/05/16,10:25:50,0.2465,3.880,97.600,3.5
17/05/16,11:25:51,0.2458,5.591,96.100,5.0
17/05/16,12:25:52,0.2458,7.695,93.600,6.7
17/05/16,13:25:53,0.2458,8.344,90.000,6.8
17/05/16,14:25:54,0.2451,8.344,87.800,6.4
17/05/16,15:25:55,0.2443,7.995,86.700,5.9
17/05/16,16:25:56,0.2443,6.737,86.900,4.7
17/05/16,17:25:57,0.2436,4.480,88.900,2.8
17/05/16,18:25:58,0.2429,3.221,91.800,2.0
17/05/16,19:25:59,0.2422,3.089,93.000,2.1
17/05/16,20:26:00,0.2414,2.690,92.700,1.6
17/05/16,21:26:01,0.2414,2.262,93.100,1.3
17/05/16,22:26:02,0.2407,1.886,93.500,0.9
17/05/16,23:26:03,0.2400,1.724,90.400,0.3
18/05/16,00:26:04,0.2400,1.643,84.300,-0.7
18/05/16,01:26:05,0.2392,1.778,79.600,-1.4
18/05/16,02:26:06,0.2392,1.480,84.400,-0.9
18/05/16,03:26:07,0.2385,0.962,88.800,-0.7
18/05/16,04:26:08,0.2385,1.153,92.000,-0.0
18/05/16,05:26:09,0.2378,1.480,93.600,0.6
18/05/16,06:26:10,0.2378,1.153,93.800,0.3
18/05/16,07:26:11,0.2378,1.317,94.600,0.5
18/05/16,08:26:12,0.2371,1.534,95.400,0.9
18/05/16,09:26:13,0.2371,2.074,96.000,1.5
18/05/16,10:26:14,0.2371,3.827,95.400,3.2
18/05/16,11:26:15,0.2371,5.205,89.800,3.7
18/05/16,12:26:16,0.2371,5.024,86.400,2.9
18/05/16,13:26:17,0.2371,4.740,87.200,2.8
18/05/16,14:26:18,0.2371,4.168,88.100,2.4
18/05/16,15:26:19,0.2363,3.512,89.300,1.9
18/05/16,16:26:20,0.2363,3.221,89.700,1.7
18/05/16,17:26:21,0.2356,3.248,89.800,1.7
18/05/16,18:26:22,0.2356,2.770,89.900,1.3
18/05/16,19:26:23,0.2356,2.557,91.400,1.3
18/05/16,20:26:24,0.2349,2.610,93.100,1.6
18/05/16,21:26:25,0.2349,2.450,93.200,1.5
18/05/16,22:26:26,0.2342,2.744,94.500,1.9
18/05/16,23:26:27,0.2342,2.557,95.000,1.8
19/05/16,00:26:28,0.2342,2.316,94.200,1.5
19/05/16,01:26:29,0.2342,2.423,94.400,1.6
19/05/16,02:26:30,0.2342,2.637,95.200,1.9
19/05/16,03:26:31,0.2334,2.717,96.000,2.1
19/05/16,04:26:32,0.2334,2.690,96.100,2.1
19/05/16,05:26:33,0.2327,2.770,96.100,2.2
19/05/16,06:26:34,0.2320,2.823,97.000,2.4
19/05/16,07:26:35,0.2320,2.850,97.600,2.5
19/05/16,08:26:36,0.2320,2.903,98.000,2.6
19/05/16,09:26:37,0.2327,3.168,98.300,2.9
19/05/16,10:26:38,0.2327,3.459,98.600,3.3
19/05/16,11:26:39,0.2334,3.591,98.800,3.4
19/05/16,12:26:40,0.2349,3.591,98.900,3.4
19/05/16,13:26:41,0.2356,3.749,99.000,3.6
19/05/16,14:26:42,0.2356,3.749,99.100,3.6
19/05/16,15:26:43,0.2342,3.775,99.200,3.7
19/05/16,16:26:44,0.2349,3.958,99.300,3.9
19/05/16,17:26:45,0.2392,4.115,99.600,4.1
19/05/16,18:26:46,0.2523,4.220,99.700,4.2
19/05/16,19:26:47,0.2610,4.324,99.900,4.3
19/05/16,20:26:48,0.2647,4.454,100.000,4.5
19/05/16,21:26:49,0.2683,4.558,100.000,4.6
19/05/16,22:26:50,0.2698,4.584,100.000,4.6
19/05/16,23:26:51,0.2698,4.662,100.000,4.7
20/05/16,00:26:52,0.2668,4.558,100.000,4.6
20/05/16,01:26:53,0.2632,4.428,100.000,4.4
20/05/16,02:26:54,0.2596,4.376,100.000,4.4
20/05/16,03:26:55,0.2581,4.115,99.900,4.1
20/05/16,04:26:56,0.2560,3.670,99.400,3.6
20/05/16,05:26:57,0.2545,3.696,99.600,3.6
20/05/16,06:26:58,0.2530,3.433,99.400,3.3
20/05/16,07:26:59,0.2509,2.823,98.700,2.6
20/05/16,08:27:00,0.2501,2.477,98.200,2.2
20/05/16,09:27:01,0.2494,3.009,98.300,2.8
20/05/16,10:27:02,0.2487,5.539,100.000,5.5
20/05/16,11:27:03,0.2480,8.020,100.000,8.0
20/05/16,12:27:04,0.2480,10.980,100.000,11.0
20/05/16,13:27:05,0.2472,12.437,100.000,12.5
20/05/16,14:27:06,0.2472,12.847,99.000,12.7
20/05/16,15:27:07,0.2465,12.147,97.800,11.8
20/05/16,16:27:08,0.2458,10.590,97.300,10.2
20/05/16,17:27:09,0.2458,6.813,96.700,6.3
20/05/16,18:27:10,0.2451,4.194,96.800,3.7
20/05/16,19:27:11,0.2436,2.823,96.400,2.3
20/05/16,20:27:12,0.2429,1.913,95.500,1.3
20/05/16,21:27:13,0.2422,1.588,95.500,0.9
20/05/16,22:27:14,0.2414,1.289,93.900,0.4
20/05/16,23:27:15,0.2407,1.235,92.300,0.1
21/05/16,00:27:16,0.2407,1.453,92.500,0.4
21/05/16,01:27:17,0.2400,1.017,91.600,-0.2
21/05/16,02:27:18,0.2400,0.934,91.200,-0.3
21/05/16,03:27:19,0.2392,0.934,91.500,-0.3
21/05/16,04:27:20,0.2392,0.852,91.700,-0.3
21/05/16,05:27:21,0.2392,0.825,91.800,-0.4
21/05/16,06:27:22,0.2385,0.715,91.800,-0.5
21/05/16,07:27:23,0.2385,0.467,91.100,-0.8
21/05/16,08:27:24,0.2378,0.384,90.500,-1.0
21/05/16,09:27:25,0.2378,1.208,93.100,0.2
21/05/16,10:27:26,0.2371,5.334,99.700,5.3
21/05/16,11:27:27,0.2371,8.145,91.100,6.8
21/05/16,12:27:28,0.2371,10.369,85.500,8.1
21/05/16,13:27:29,0.2371,10.541,79.900,7.2
21/05/16,14:27:30,0.2371,11.370,75.500,7.2
21/05/16,15:27:31,0.2371,10.834,71.700,5.9
21/05/16,16:27:32,0.2363,9.386,70.100,4.2
21/05/16,17:27:33,0.2363,7.393,81.300,4.4
21/05/16,18:27:34,0.2363,4.999,82.300,2.2
21/05/16,19:27:35,0.2356,3.958,83.000,1.3
21/05/16,20:27:36,0.2356,3.696,85.100,1.4
21/05/16,21:27:37,0.2349,3.354,84.000,0.9
21/05/16,22:27:38,0.2349,3.749,78.200,0.3
21/05/16,23:27:39,0.2342,4.115,69.400,-1.0
22/05/16,00:27:40,0.2342,4.246,64.500,-1.8
22/05/16,01:27:41,0.2342,4.220,57.400,-3.4
22/05/16,02:27:42,0.2342,4.688,56.300,-3.3
22/05/16,03:27:43,0.2334,3.274,55.100,-4.9
22/05/16,04:27:44,0.2334,2.823,61.700,-3.8
22/05/16,05:27:45,0.2334,1.805,68.800,-3.3
22/05/16,06:27:46,0.2327,3.036,62.000,-3.5
22/05/16,07:27:47,0.2327,3.749,60.900,-3.1
22/05/16,08:27:48,0.2327,3.906,66.700,-1.7
22/05/16,09:27:49,0.2320,5.565,76.200,1.7
22/05/16,10:27:50,0.2327,7.192,81.700,4.3
22/05/16,11:27:51,0.2327,8.095,74.500,3.8
22/05/16,12:27:52,0.2327,8.717,74.600,4.5
22/05/16,13:27:53,0.2327,8.990,76.200,5.0
22/05/16,14:27:54,0.2327,9.139,79.400,5.8
22/05/16,15:27:55,0.2327,9.064,79.000,5.6
22/05/16,16:27:56,0.2320,7.945,78.600,4.5
22/05/16,17:27:57,0.2320,7.091,81.500,4.1
22/05/16,18:27:58,0.2320,6.077,83.800,3.5
22/05/16,19:27:59,0.2320,5.488,87.400,3.6
22/05/16,20:28:00,0.2313,5.616,90.600,4.2
22/05/16,21:28:01,0.2313,5.668,91.900,4.5
22/05/16,22:28:02,0.2313,5.924,93.300,4.9
22/05/16,23:28:03,0.2313,6.382,94.600,5.6
23/05/16,00:28:04,0.2313,7.066,95.600,6.4
23/05/16,01:28:05,0.2305,7.167,96.500,6.7
23/05/16,02:28:06,0.2298,6.990,97.300,6.6
23/05/16,03:28:07,0.2291,6.737,97.800,6.4
23/05/16,04:28:08,0.2494,6.535,98.200,6.3
23/05/16,05:28:09,0.2879,6.408,98.400,6.2
23/05/16,06:28:10,0.2923,6.382,98.600,6.2
23/05/16,07:28:11,0.2857,4.792,98.100,4.5
23/05/16,08:28:12,0.2698,3.221,97.000,2.8
23/05/16,09:28:13,0.2625,3.168,97.000,2.7
23/05/16,10:28:14,0.2589,3.248,97.200,2.8
23/05/16,11:28:15,0.2560,3.854,97.400,3.5
23/05/16,12:28:16,0.2545,4.272,97.200,3.9
23/05/16,13:28:17,0.2530,4.089,97.000,3.7
23/05/16,14:28:18,0.2516,5.539,97.800,5.2
23/05/16,15:28:19,0.2509,5.385,96.000,4.8
23/05/16,16:28:20,0.2501,3.775,92.100,2.6
23/05/16,17:28:21,0.2494,2.744,92.000,1.6
23/05/16,18:28:22,0.2480,2.128,91.900,0.9
23/05/16,19:28:23,0.2472,1.859,92.800,0.8
23/05/16,20:28:24,0.2458,1.967,94.100,1.1
23/05/16,21:28:25,0.2458,1.643,94.900,0.9
23/05/16,22:28:26,0.2451,1.913,95.500,1.3
23/05/16,23:28:27,0.2451,2.074,95.700,1.5
24/05/16,00:28:28,0.2443,2.182,95.900,1.6
24/05/16,01:28:29,0.2443,2.182,96.000,1.6
24/05/16,02:28:30,0.2436,2.182,96.000,1.6
24/05/16,03:28:31,0.2436,2.236,96.000,1.7
24/05/16,04:28:32,0.2436,1.805,95.600,1.2
24/05/16,05:28:33,0.2429,1.317,94.700,0.6
24/05/16,06:28:34,0.2429,0.989,94.100,0.1
24/05/16,07:28:35,0.2422,0.907,93.800,0.0
24/05/16,08:28:36,0.2422,0.907,93.800,0.0
24/05/16,09:28:37,0.2407,1.208,94.500,0.4
24/05/16,10:28:38,0.2407,2.477,96.600,2.0
24/05/16,11:28:39,0.2472,5.668,99.700,5.6
24/05/16,12:28:40,0.2574,7.293,100.000,7.3
24/05/16,13:28:41,0.2560,8.668,99.700,8.6
24/05/16,14:28:42,0.2545,8.866,98.400,8.6
24/05/16,15:28:43,0.2530,8.045,97.000,7.6
24/05/16,16:28:44,0.2516,6.179,94.600,5.4
24/05/16,17:28:45,0.2501,4.011,93.400,3.0
24/05/16,18:28:46,0.2487,2.717,93.000,1.7
24/05/16,19:28:47,0.2480,2.155,93.000,1.1
24/05/16,20:28:48,0.2472,1.751,92.800,0.7
24/05/16,21:28:49,0.2465,1.398,92.300,0.3
24/05/16,22:28:50,0.2458,1.153,92.300,0.0
24/05/16,23:28:51,0.2451,0.577,91.100,-0.7
25/05/16,00:28:52,0.2443,-0.395,87.700,-2.2
25/05/16,01:28:53,0.2436,-0.789,84.500,-3.1
25/05/16,02:28:54,0.2436,-0.873,85.700,-3.0
25/05/16,03:28:55,0.2429,-0.902,86.200,-2.9
25/05/16,04:28:56,0.2429,-0.902,84.700,-3.2
25/05/16,05:28:57,0.2422,-0.535,85.400,-2.7
25/05/16,06:28:58,0.2422,-0.563,86.800,-2.5
25/05/16,07:28:59,0.2414,-0.507,85.200,-2.7
25/05/16,08:29:00,0.2407,-0.283,84.000,-2.7
25/05/16,09:29:01,0.2400,0.190,87.300,-1.7
25/05/16,10:29:02,0.2400,1.425,94.100,0.6
25/05/16,11:29:03,0.2392,2.610,94.900,1.9
25/05/16,12:29:04,0.2392,2.664,94.000,1.8
25/05/16,13:29:05,0.2392,3.063,93.700,2.1
25/05/16,14:29:06,0.2392,2.530,94.200,1.7
25/05/16,15:29:07,0.2385,2.182,95.700,1.6
25/05/16,16:29:08,0.2385,2.047,96.400,1.5
25/05/16,17:29:09,0.2385,1.994,96.900,1.6
25/05/16,18:29:10,0.2385,1.778,97.000,1.4
25/05/16,19:29:11,0.2371,1.317,96.900,0.9
25/05/16,20:29:12,0.2378,1.235,97.200,0.8
25/05/16,21:29:13,0.2385,1.371,97.200,1.0
25/05/16,22:29:14,0.2392,1.289,97.300,0.9
25/05/16,23:29:15,0.2392,1.289,97.500,0.9
26/05/16,00:29:16,0.2610,1.317,97.800,1.0
26/05/16,01:29:17,0.2719,1.480,98.100,1.2
26/05/16,02:29:18,0.2748,1.453,98.300,1.2
26/05/16,03:29:19,0.2756,1.561,98.500,1.3
26/05/16,04:29:20,0.2756,1.344,98.500,1.1
