"Date","Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","Temp, ¡C (SEN S/N: 699195)","RH, % (SEN S/N: 699195)","DewPt, ¡C (SEN S/N: 699195)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
18-04-2005,12:00:00,,8.270,8.394,8.120,14.290,9.03,1.00,-44.5,1351.2,12.94,22.46
18-04-2005,13:00:00,0.00,8.369,8.419,8.319,14.912,9.42,1.00,-44.2,1441.2,11.04,17.89
18-04-2005,14:00:00,0.00,8.494,8.419,8.618,13.425,9.42,1.00,-44.2,1391.2,9.14,13.70
18-04-2005,15:00:00,0.00,8.643,8.469,8.891,9.829,9.42,1.00,-44.2,1163.7,8.38,12.56
18-04-2005,16:00:00,0.00,8.792,8.519,9.040,8.070,8.23,1.00,-44.9,841.2,8.38,13.70
18-04-2005,17:00:00,0.00,8.891,8.568,9.040,6.408,6.62,1.00,-45.9,443.7,7.99,12.56
18-04-2005,18:00:00,0.00,8.916,8.618,8.891,4.584,4.99,1.00,-46.9,61.2,7.23,11.80
18-04-2005,19:00:00,0.00,8.866,8.643,8.618,3.485,4.15,1.00,-47.5,1.2,6.47,11.42
18-04-2005,20:00:00,0.00,8.742,8.643,8.319,2.877,3.31,1.00,-48.0,1.2,5.33,8.76
18-04-2005,21:00:00,0.00,8.618,8.618,8.045,2.370,3.31,1.00,-48.0,1.2,4.95,8.76
18-04-2005,22:00:00,0.00,8.444,8.568,7.770,1.805,3.31,1.00,-48.0,1.2,3.81,7.61
18-04-2005,23:00:00,0.00,8.295,8.519,7.519,1.615,5.81,1.00,-46.4,1.2,3.43,7.99
19-04-2005,00:00:00,0.00,8.145,8.444,7.293,1.289,5.40,1.00,-46.7,1.2,1.90,5.33
19-04-2005,01:00:00,0.00,7.970,8.344,7.041,0.907,2.46,1.00,-48.5,1.2,3.05,7.61
