"Date","Time, GMT+11:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","Temp, ¡C (SEN S/N: 699195)","RH, % (SEN S/N: 699195)","DewPt, ¡C (SEN S/N: 699195)","PAR, uE (SEN S/N: 700672)"
17-01-2005,10:45:32,,11.053,11.200,11.807,31.484,11.38,1.00,-43.0,1836.2
17-01-2005,11:45:32,0.00,11.297,11.200,12.437,35.315,12.55,1.00,-42.3,1973.7
17-01-2005,12:45:32,0.00,11.783,11.273,13.666,37.645,12.16,1.00,-42.5,1813.7
17-01-2005,13:45:32,0.00,12.389,11.394,14.768,29.165,12.93,1.00,-42.1,1156.2
17-01-2005,14:45:32,0.00,12.920,11.613,15.223,29.640,14.47,1.00,-41.1,1201.2
17-01-2005,15:45:32,0.00,13.329,11.832,15.629,30.646,13.70,1.00,-41.6,1168.7
17-01-2005,16:45:32,0.00,13.714,12.074,15.915,22.441,13.32,1.00,-41.8,556.2
17-01-2005,17:45:32,0.00,13.978,12.292,15.748,19.532,12.55,1.00,-42.3,481.2
17-01-2005,18:45:32,0.00,14.050,12.485,15.414,16.439,12.55,1.00,-42.3,578.7
17-01-2005,19:45:32,0.00,14.026,12.630,14.984,12.340,11.77,1.00,-42.8,268.7
17-01-2005,20:45:32,0.00,13.906,12.727,14.481,10.198,8.63,2.75,-35.1,73.7
17-01-2005,21:45:32,0.00,13.714,12.751,13.906,7.444,7.43,8.75,-23.7,1.2
17-01-2005,22:45:32,0.00,13.473,12.727,13.257,6.255,6.62,19.25,-15.2,1.2
17-01-2005,23:45:32,0.00,13.161,12.678,12.606,5.102,6.22,22.25,-13.8,1.2
18-01-2005,00:45:32,0.00,12.823,12.582,12.025,4.532,6.62,24.25,-12.4,1.2
18-01-2005,01:45:32,0.00,12.485,12.461,11.516,4.168,6.62,17.75,-16.2,1.2
18-01-2005,02:45:32,0.00,12.171,12.316,11.053,3.749,6.62,18.75,-15.5,1.2
18-01-2005,03:45:32,0.00,11.880,12.147,10.663,3.538,7.03,1.00,-45.7,1.2
18-01-2005,04:45:32,0.00,11.589,12.001,10.320,3.380,6.62,5.25,-29.8,1.2
18-01-2005,05:45:32,0.00,11.321,11.832,10.001,3.327,7.83,5.25,-29.0,1.2
18-01-2005,06:45:32,0.00,11.078,11.662,9.756,3.617,7.83,9.75,-22.2,48.7
18-01-2005,07:45:32,0.00,10.858,11.492,9.558,5.872,10.60,1.25,-41.4,408.7
18-01-2005,08:45:32,0.00,10.712,11.346,9.731,8.668,12.16,1.00,-42.5,848.7
18-01-2005,09:45:32,0.00,10.712,11.224,10.394,14.697,12.16,1.00,-42.5,1283.7
18-01-2005,10:45:32,0.00,10.932,11.151,11.370,27.677,13.70,1.00,-41.6,1653.7
18-01-2005,11:45:32,0.00,11.321,11.127,12.509,39.971,14.09,1.00,-41.4,1898.7
18-01-2005,12:45:32,0.00,11.856,11.224,13.762,46.931,16.00,1.00,-40.2,2143.7
18-01-2005,13:45:32,0.00,12.461,11.370,14.960,40.573,16.38,1.00,-40.0,1643.7
18-01-2005,14:45:32,0.00,13.088,11.613,15.700,45.624,16.76,1.00,-39.7,2098.7
18-01-2005,15:45:32,0.00,13.618,11.880,16.320,40.949,16.38,1.00,-40.0,1506.2
18-01-2005,16:45:32,0.00,14.074,12.147,16.701,39.686,17.52,1.00,-39.3,1818.7
