"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818211, LBL: Ambient)","RH, % (SEN S/N: 9818211)","DewPt, ¡C (SEN S/N: 9818211)","Water Content, m?/m? (SEN S/N: 9827491, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833764, LBL: 10cmBG)"
23-11-2012,11:57:30,15.652,72.300,10.7,0.2589,0.2923
23-11-2012,12:57:31,15.986,80.500,12.7,0.2603,0.2923
23-11-2012,13:57:32,16.344,83.100,13.5,0.2596,0.2915
23-11-2012,14:57:33,15.700,78.000,11.9,0.2589,0.2915
23-11-2012,15:57:34,15.509,81.600,12.4,0.2589,0.2908
23-11-2012,16:57:35,14.721,82.100,11.7,0.2589,0.2908
23-11-2012,17:57:36,13.522,85.600,11.2,0.2589,0.2901
23-11-2012,18:57:37,12.727,88.300,10.9,0.2581,0.2901
23-11-2012,19:57:38,11.419,88.400,9.6,0.2581,0.2894
23-11-2012,20:57:39,8.668,87.100,6.7,0.2581,0.2886
23-11-2012,21:57:40,7.419,89.100,5.7,0.2581,0.2886
23-11-2012,22:57:41,7.116,91.300,5.8,0.2581,0.2886
23-11-2012,23:57:42,6.585,92.300,5.4,0.2581,0.2886
24-11-2012,00:57:43,5.488,92.000,4.3,0.2581,0.2886
24-11-2012,01:57:44,5.076,91.600,3.8,0.2581,0.2886
24-11-2012,02:57:45,5.050,91.500,3.8,0.2581,0.2886
24-11-2012,03:57:46,5.411,94.000,4.5,0.2581,0.2886
24-11-2012,04:57:47,5.898,96.500,5.4,0.2581,0.2886
24-11-2012,05:57:48,6.306,96.800,5.8,0.2581,0.2886
24-11-2012,06:57:49,7.645,99.400,7.6,0.2581,0.2886
24-11-2012,07:57:50,9.805,100.000,9.8,0.2581,0.2886
24-11-2012,08:57:51,11.783,97.300,11.4,0.2581,0.2886
24-11-2012,09:57:52,13.666,90.800,12.2,0.2581,0.2886
24-11-2012,10:57:53,15.461,79.900,12.0,0.2581,0.2879
24-11-2012,11:57:54,17.082,79.500,13.5,0.2574,0.2872
24-11-2012,12:57:55,18.010,84.200,15.3,0.2574,0.2865
24-11-2012,13:57:56,17.034,83.500,14.2,0.2567,0.2857
24-11-2012,14:57:57,17.677,83.800,14.9,0.2560,0.2850
24-11-2012,15:57:58,15.796,86.100,13.5,0.2552,0.2843
24-11-2012,16:57:59,15.390,89.200,13.6,0.2545,0.2843
24-11-2012,17:58:00,15.366,93.000,14.3,0.2538,0.2836
24-11-2012,18:58:01,14.745,92.800,13.6,0.2538,0.2828
24-11-2012,19:58:02,12.147,90.200,10.6,0.2530,0.2821
24-11-2012,20:58:03,11.127,92.600,10.0,0.2530,0.2821
24-11-2012,21:58:04,10.394,93.800,9.4,0.2530,0.2814
24-11-2012,22:58:05,9.435,93.600,8.5,0.2530,0.2814
24-11-2012,23:58:06,9.558,96.300,9.0,0.2530,0.2814
25-11-2012,00:58:07,9.903,98.300,9.7,0.2530,0.2814
25-11-2012,01:58:08,8.841,96.500,8.3,0.2530,0.2814
25-11-2012,02:58:09,8.618,96.400,8.1,0.2530,0.2814
25-11-2012,03:58:10,8.643,97.100,8.2,0.2530,0.2814
25-11-2012,04:58:11,8.319,95.000,7.6,0.2530,0.2814
25-11-2012,05:58:12,7.870,94.800,7.1,0.2530,0.2814
25-11-2012,06:58:13,8.941,97.500,8.6,0.2530,0.2814
25-11-2012,07:58:14,10.883,98.000,10.6,0.2530,0.2814
25-11-2012,08:58:15,13.497,88.900,11.7,0.2530,0.2806
25-11-2012,09:58:16,15.342,84.200,12.7,0.2523,0.2806
25-11-2012,10:58:17,17.463,72.500,12.5,0.2523,0.2799
25-11-2012,11:58:18,18.652,70.200,13.1,0.2516,0.2792
25-11-2012,12:58:19,19.865,66.600,13.5,0.2509,0.2777
25-11-2012,13:58:20,19.817,68.600,13.9,0.2494,0.2770
25-11-2012,14:58:21,18.961,80.400,15.5,0.2487,0.2763
25-11-2012,15:58:22,19.603,70.800,14.2,0.2480,0.2748
25-11-2012,16:58:23,17.510,69.400,11.9,0.2465,0.2741
25-11-2012,17:58:24,18.842,68.400,12.9,0.2458,0.2734
25-11-2012,18:58:25,16.820,77.700,12.9,0.2451,0.2727
25-11-2012,19:58:26,13.978,85.100,11.5,0.2451,0.2719
25-11-2012,20:58:27,11.686,85.700,9.4,0.2443,0.2712
25-11-2012,21:58:28,9.213,85.400,6.9,0.2443,0.2712
25-11-2012,22:58:29,7.544,85.200,5.2,0.2443,0.2705
