"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818210, LBL: Ambient)","RH, % (SEN S/N: 9818210)","DewPt, ¡C (SEN S/N: 9818210)","Temp, ¡C (SEN S/N: 9824742, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833751, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833767, LBL: 10cmBG)"
10-11-2012,15:52:22,12.074,60.200,4.6,25.355,0.1238,0.2109
10-11-2012,16:52:23,12.098,58.800,4.3,24.195,0.1187,0.2102
10-11-2012,17:52:24,11.516,61.800,4.5,20.150,0.1143,0.2095
10-11-2012,18:52:25,7.645,66.900,1.9,14.840,0.1071,0.2073
10-11-2012,19:52:26,2.074,81.700,-0.7,9.682,0.1027,0.2058
10-11-2012,20:52:27,-1.100,89.200,-2.7,6.965,0.0998,0.2044
10-11-2012,21:52:28,-2.247,91.400,-3.5,5.231,0.0969,0.2029
10-11-2012,22:52:29,-6.042,91.000,-7.3,3.670,0.0947,0.2022
10-11-2012,23:52:30,-6.199,91.000,-7.4,2.047,0.0933,0.2008
11-11-2012,00:52:31,-7.510,89.700,-8.9,0.989,0.0947,0.2000
11-11-2012,01:52:32,-8.630,87.900,-10.3,0.301,0.0962,0.1993
11-11-2012,02:52:33,-4.016,90.100,-5.4,0.246,0.0954,0.1986
11-11-2012,03:52:34,-1.871,87.700,-3.6,0.605,0.0947,0.1986
11-11-2012,04:52:35,-2.830,86.100,-4.8,0.687,0.0925,0.1986
11-11-2012,05:52:36,-0.227,85.500,-2.4,0.577,0.0918,0.1986
11-11-2012,06:52:37,3.036,83.500,0.5,1.126,0.0904,0.1993
11-11-2012,07:52:38,9.213,71.400,4.3,2.823,0.0933,0.1986
11-11-2012,08:52:39,13.016,59.800,5.4,5.308,0.0954,0.1986
11-11-2012,09:52:40,15.533,51.800,5.7,7.318,0.0998,0.2000
11-11-2012,10:52:41,17.629,45.500,5.7,17.582,0.1034,0.2008
11-11-2012,11:52:42,18.057,38.900,3.9,25.331,0.1034,0.2015
11-11-2012,12:52:43,18.937,35.100,3.2,29.966,0.1012,0.2015
11-11-2012,13:52:44,18.913,39.100,4.7,33.391,0.0962,0.2015
11-11-2012,14:52:45,19.175,42.700,6.2,35.662,0.0904,0.2015
11-11-2012,15:52:46,18.985,48.300,7.8,36.362,0.0838,0.2022
11-11-2012,16:52:47,18.105,49.600,7.4,33.469,0.0766,0.2008
11-11-2012,17:52:48,15.318,53.100,5.8,26.304,0.0707,0.1993
11-11-2012,18:52:49,11.637,55.700,3.1,18.557,0.0664,0.1978
11-11-2012,19:52:50,5.462,67.800,-0.0,12.171,0.0635,0.1964
11-11-2012,20:52:51,3.643,80.200,0.6,9.089,0.0628,0.1957
11-11-2012,21:52:52,4.272,85.200,2.0,7.720,0.0620,0.1942
11-11-2012,22:52:53,5.591,85.800,3.4,7.116,0.0613,0.1935
11-11-2012,23:52:54,5.591,78.700,2.2,6.737,0.0613,0.1928
12-11-2012,00:52:55,6.153,70.600,1.2,6.331,0.0613,0.1928
12-11-2012,01:52:56,6.737,69.400,1.5,6.611,0.0613,0.1920
12-11-2012,02:52:57,6.433,69.900,1.3,6.661,0.0613,0.1920
12-11-2012,03:52:58,6.000,71.700,1.3,6.102,0.0613,0.1913
12-11-2012,04:52:59,6.000,71.500,1.2,5.898,0.0613,0.1906
12-11-2012,05:53:00,5.796,72.100,1.2,5.821,0.0613,0.1906
12-11-2012,06:53:01,6.128,70.700,1.2,6.077,0.0613,0.1906
12-11-2012,07:53:02,6.204,73.000,1.7,6.661,0.0613,0.1899
12-11-2012,08:53:03,6.839,73.300,2.4,7.116,0.0613,0.1906
12-11-2012,09:53:04,10.467,69.400,5.1,8.767,0.0620,0.1891
12-11-2012,10:53:05,13.858,61.200,6.5,16.558,0.0649,0.1899
12-11-2012,11:53:06,13.810,60.600,6.3,19.532,0.0642,0.1906
12-11-2012,12:53:07,11.710,68.200,6.1,17.058,0.0613,0.1899
12-11-2012,13:53:08,14.505,62.900,7.5,24.050,0.0620,0.1899
12-11-2012,14:53:09,16.487,63.100,9.5,29.490,0.0591,0.1899
12-11-2012,15:53:10,16.463,61.700,9.1,31.357,0.0540,0.1899
12-11-2012,16:53:11,15.772,62.200,8.6,27.751,0.0497,0.1899
12-11-2012,17:53:12,16.558,63.000,9.5,22.609,0.0460,0.1891
12-11-2012,18:53:13,12.847,68.000,7.1,17.368,0.0439,0.1877
12-11-2012,19:53:14,10.492,72.000,5.7,12.823,0.0431,0.1870
12-11-2012,20:53:15,6.636,76.500,2.8,10.149,0.0431,0.1870
12-11-2012,21:53:16,7.444,91.600,6.2,9.460,0.0431,0.1862
12-11-2012,22:53:17,6.204,94.500,5.4,9.903,0.0424,0.1848
12-11-2012,23:53:18,4.662,95.300,4.0,9.089,0.0431,0.1855
13-11-2012,00:53:19,3.301,95.800,2.7,8.120,0.0431,0.1848
13-11-2012,01:53:20,2.530,96.200,2.0,7.343,0.0431,0.1848
13-11-2012,02:53:21,1.967,96.500,1.5,6.737,0.0431,0.1840
13-11-2012,03:53:22,1.398,96.600,0.9,6.204,0.0431,0.1848
13-11-2012,04:53:23,0.934,96.800,0.5,5.770,0.0431,0.1840
13-11-2012,05:53:24,0.907,97.000,0.5,5.488,0.0431,0.1848
13-11-2012,06:53:25,0.797,97.000,0.4,5.282,0.0431,0.1855
13-11-2012,07:53:26,2.155,97.000,1.7,6.102,0.0439,0.1848
13-11-2012,08:53:27,3.512,96.700,3.0,8.070,0.0446,0.1855
13-11-2012,09:53:28,5.924,94.500,5.1,10.026,0.0453,0.1855
13-11-2012,10:53:29,8.693,87.500,6.7,15.270,0.0475,0.1862
13-11-2012,11:53:30,13.088,76.900,9.1,25.793,0.0490,0.1862
13-11-2012,12:53:31,13.209,73.200,8.5,28.122,0.0460,0.1870
13-11-2012,13:53:32,12.098,73.000,7.4,24.436,0.0424,0.1862
13-11-2012,14:53:33,13.810,71.400,8.7,25.331,0.0395,0.1862
13-11-2012,15:53:34,11.297,68.800,5.8,26.891,0.0359,0.1855
13-11-2012,16:53:35,9.805,75.300,5.7,20.460,0.0322,0.1848
13-11-2012,17:53:36,8.717,78.200,5.1,17.486,0.0301,0.1848
13-11-2012,18:53:37,7.619,83.500,5.0,13.858,0.0286,0.1833
13-11-2012,19:53:38,4.194,87.800,2.4,10.149,0.0286,0.1826
13-11-2012,20:53:39,3.670,91.300,2.4,8.841,0.0286,0.1826
13-11-2012,21:53:40,3.036,94.000,2.2,8.245,0.0293,0.1819
13-11-2012,22:53:41,2.664,95.400,2.0,7.619,0.0293,0.1819
13-11-2012,23:53:42,2.396,95.900,1.8,7.116,0.0301,0.1811
14-11-2012,00:53:43,2.074,96.300,1.5,6.737,0.0308,0.1811
14-11-2012,01:53:44,1.886,96.600,1.4,6.382,0.0315,0.1811
14-11-2012,02:53:45,1.913,96.800,1.5,6.128,0.0308,0.1811
14-11-2012,03:53:46,2.262,96.700,1.8,6.128,0.0315,0.1811
14-11-2012,04:53:47,-0.930,96.500,-1.4,5.128,0.0322,0.1811
14-11-2012,05:53:48,-3.242,96.000,-3.8,3.009,0.0337,0.1804
