"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818218, LBL: Ambient)","RH, % (SEN S/N: 9818218)","DewPt, ¡C (SEN S/N: 9818218)","Temp, ¡C (SEN S/N: 9824740, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833760, LBL: 10cmBG)"
10-11-2012,15:52:22,19.555,48.700,8.5,31.052,0.1521,0.2668
10-11-2012,16:52:23,16.892,51.900,7.0,27.924,0.1521,0.2676
10-11-2012,17:52:24,16.368,50.400,6.1,22.202,0.1506,0.2676
10-11-2012,18:52:25,10.369,60.200,3.0,16.201,0.1470,0.2668
10-11-2012,19:52:26,6.509,71.900,1.8,11.977,0.1456,0.2668
10-11-2012,20:52:27,4.220,78.200,0.8,8.394,0.1434,0.2661
10-11-2012,21:52:28,3.009,81.200,0.1,6.509,0.1412,0.2661
10-11-2012,22:52:29,1.289,79.600,-1.8,4.999,0.1405,0.2654
10-11-2012,23:52:30,-0.311,78.000,-3.7,3.538,0.1383,0.2647
11-11-2012,00:52:31,-1.043,79.400,-4.2,2.450,0.1572,0.2647
11-11-2012,01:52:32,-1.641,79.000,-4.8,1.643,0.1376,0.2639
11-11-2012,02:52:33,-1.413,81.800,-4.1,1.507,0.1368,0.2632
11-11-2012,03:52:34,-0.479,82.600,-3.1,1.940,0.1361,0.2632
11-11-2012,04:52:35,0.107,81.900,-2.6,2.074,0.1354,0.2625
11-11-2012,05:52:36,0.495,82.000,-2.2,1.940,0.1354,0.2632
11-11-2012,06:52:37,4.298,79.900,1.1,2.903,0.1354,0.2625
11-11-2012,07:52:38,9.805,65.700,3.7,5.024,0.1354,0.2625
11-11-2012,08:52:39,14.745,54.600,5.7,7.745,0.1361,0.2618
11-11-2012,09:52:40,18.152,47.500,6.8,11.734,0.1368,0.2618
11-11-2012,10:52:41,20.936,44.100,8.3,17.344,0.1376,0.2618
11-11-2012,11:52:42,20.674,39.500,6.4,21.557,0.1383,0.2618
11-11-2012,12:52:43,19.555,37.600,4.7,32.975,0.1383,0.2610
11-11-2012,13:52:44,20.055,43.600,7.3,39.375,0.1397,0.2618
11-11-2012,14:52:45,21.056,42.900,8.0,40.804,0.1412,0.2618
11-11-2012,15:52:46,20.079,47.200,8.5,38.532,0.1405,0.2625
