"Date","Time, GMT+11:00","Water Content, m?/m? (SEN S/N: 9833752, LBL: 10cmBG)"
27-11-2012,14:59:09,0.1935
27-11-2012,15:59:10,0.1957
27-11-2012,16:59:11,0.1957
27-11-2012,17:59:12,0.1957
27-11-2012,18:59:13,0.1942
27-11-2012,19:59:14,0.1935
27-11-2012,20:59:15,0.1928
27-11-2012,21:59:16,0.1920
27-11-2012,22:59:17,0.1920
27-11-2012,23:59:18,0.1913
28-11-2012,00:59:19,0.1913
28-11-2012,01:59:20,0.1906
28-11-2012,02:59:21,0.1899
28-11-2012,03:59:22,0.1899
28-11-2012,04:59:23,0.1891
28-11-2012,05:59:24,0.1891
28-11-2012,06:59:25,0.1891
28-11-2012,07:59:26,0.1899
28-11-2012,08:59:27,0.1899
28-11-2012,09:59:28,0.1891
28-11-2012,10:59:29,0.1870
28-11-2012,11:59:30,0.1833
28-11-2012,12:59:31,0.1804
28-11-2012,13:59:32,0.1761
28-11-2012,14:59:33,0.1717
28-11-2012,15:59:34,0.1666
28-11-2012,16:59:35,0.1615
