SITE,REP,DATE,HOUR,TEMP,
PRO1,1,8/11/11,13,14.127,
PRO1,1,8/11/11,14,17.698,
PRO1,1,8/11/11,15,18.575,
PRO1,1,8/11/11,16,19.702,
PRO1,1,8/11/11,17,17.636,
PRO1,1,8/11/11,18,14.817,
PRO1,1,8/11/11,19,12.623,
PRO1,1,8/11/11,20,10.239,
PRO1,1,8/11/11,21,10.114,
PRO1,1,8/11/11,22,9.737,
PRO1,1,8/11/11,23,9.549,
PRO1,1,9/11/11,0,10.051,
PRO1,1,9/11/11,1,10.553,
PRO1,1,9/11/11,2,11.243,
PRO1,1,9/11/11,3,11.306,
PRO1,1,9/11/11,4,11.306,
PRO1,1,9/11/11,5,11.055,
PRO1,1,9/11/11,6,11.431,
PRO1,1,9/11/11,7,12.309,
PRO1,1,9/11/11,8,12.936,
PRO1,1,9/11/11,9,12.497,
PRO1,1,9/11/11,10,12.748,
PRO1,1,9/11/11,11,12.811,
PRO1,1,9/11/11,12,15.13,
PRO1,1,9/11/11,13,14.19,
PRO1,1,9/11/11,14,12.685,
PRO1,1,9/11/11,15,13.438,
PRO1,1,9/11/11,16,13.939,
PRO1,1,9/11/11,17,15.318,
PRO1,1,9/11/11,18,14.253,
PRO1,1,9/11/11,19,13.939,
PRO1,1,9/11/11,20,13.312,
PRO1,1,9/11/11,21,12.748,
PRO1,1,9/11/11,22,11.243,
PRO1,1,9/11/11,23,10.804,
PRO1,1,10/11/11,0,10.051,
PRO1,1,10/11/11,1,10.051,
PRO1,1,10/11/11,2,9.549,
PRO1,1,10/11/11,3,9.298,
PRO1,1,10/11/11,4,9.675,
PRO1,1,10/11/11,5,9.8,
PRO1,1,10/11/11,6,9.047,
PRO1,1,10/11/11,7,7.854,
PRO1,1,10/11/11,8,5.154,
PRO1,1,10/11/11,9,6.975,
PRO1,1,10/11/11,10,10.804,
PRO1,1,10/11/11,11,13.375,
PRO1,1,10/11/11,12,14.566,
PRO1,1,10/11/11,13,15.694,
PRO1,1,10/11/11,14,15.631,
PRO1,1,10/11/11,15,14.629,
PRO1,1,10/11/11,16,15.193,
PRO1,1,10/11/11,17,12.685,
PRO1,1,10/11/11,18,8.231,
PRO1,1,10/11/11,19,7.227,
PRO1,1,10/11/11,20,5.091,
PRO1,1,10/11/11,21,5.719,
PRO1,1,10/11/11,22,5.342,
PRO1,1,10/11/11,23,3.96,
PRO1,1,11/11/11,0,3.143,
PRO1,1,11/11/11,1,1.697,
PRO1,1,11/11/11,2,0.942,
PRO1,1,11/11/11,3,-0.441,
PRO1,1,11/11/11,4,0.188,
PRO1,1,11/11/11,5,1.508,
PRO1,1,11/11/11,6,1.068,
PRO1,1,11/11/11,7,3.646,
PRO1,1,11/11/11,8,11.682,
PRO1,1,11/11/11,9,17.072,
PRO1,1,11/11/11,10,18.324,
PRO1,1,11/11/11,11,17.761,
PRO1,1,11/11/11,12,18.512,
PRO1,1,11/11/11,13,18.512,
PRO1,1,11/11/11,14,19.639,
PRO1,1,11/11/11,15,19.451,
PRO1,1,11/11/11,16,21.579,
PRO1,1,11/11/11,17,19.013,
PRO1,1,11/11/11,18,14.566,
PRO1,1,11/11/11,19,8.482,
PRO1,1,11/11/11,20,5.845,
PRO1,1,11/11/11,21,3.897,
PRO1,1,11/11/11,22,4.965,
PRO1,1,11/11/11,23,5.28,
PRO1,1,12/11/11,0,5.531,
PRO1,1,12/11/11,1,5.154,
PRO1,1,12/11/11,2,5.657,
PRO1,1,12/11/11,3,5.405,
PRO1,1,12/11/11,4,5.28,
PRO1,1,12/11/11,5,4.4,
PRO1,1,12/11/11,6,4.086,
PRO1,1,12/11/11,7,5.782,
PRO1,1,12/11/11,8,14.566,
PRO1,1,12/11/11,9,16.947,
PRO1,1,12/11/11,10,18.575,
PRO1,1,12/11/11,11,19.201,
PRO1,1,12/11/11,12,19.639,
PRO1,1,12/11/11,13,21.203,
PRO1,1,12/11/11,14,22.204,
PRO1,1,12/11/11,15,22.642,
PRO1,1,12/11/11,16,21.141,
PRO1,1,12/11/11,17,21.766,
PRO1,1,12/11/11,18,19.952,
PRO1,1,12/11/11,19,14.441,
PRO1,1,12/11/11,20,4.337,
PRO1,1,12/11/11,21,5.28,
PRO1,1,12/11/11,22,1.508,
PRO1,1,12/11/11,23,0.691,
PRO1,1,13/11/11,0,-0.127,
PRO1,1,13/11/11,1,1.949,
PRO1,1,13/11/11,2,1.949,
PRO1,1,13/11/11,3,3.206,
PRO1,1,13/11/11,4,3.52,
PRO1,1,13/11/11,5,5.342,
PRO1,1,13/11/11,6,3.834,
PRO1,1,13/11/11,7,8.357,
PRO1,1,13/11/11,8,17.072,
